Indikator,Tipe,preprocessed_text
"Menegaskan bahwa ia tetap salah dan menyuruhnya untuk menerima konsekuensinya tetapi saya akan menyuruhnya dahulu bagaimana ia menyelesaikan konfliknya sendirj, dengan saya bantu di sampingnya jika merasa ia butuh bantuan",T,salah suruh terima konsekuensi suruh selesai konflik sendirj bantu samping butuh bantu
saya akan menegurnya dan menyuruh dia menerima konsekuensinya ,T,tegur suruh terima konsekuensi
Mencari solusi untuk dirinya apabila dia selalu baik ke saya dan selalu ada dengan saya apapun kondisinya maka akan saya akan tetap setia,F,cari solusi apa kondisi setia
menegaskannya dan harus menerima konsekuensinya bagaimanapun itu,T,tegas terima konsekuensi
membantu mencarikan solusi,F,bantu cari solusi
"saya tetep menegaskan bahwa dia salah, harus minta maaf, dan tetap saya bantu untuk mencari solusi agar masalah itu cepat selesai",T,tetep salah maaf bantu cari solusi cepat selesai
saya tetap akan berusaha mencari solusi untuk permasalahannya tapi ia tetap menerima konsekuensinya agar bisa dijadikan pembelajaran kedepannya,F,usaha cari solusi masalah terima konsekuensi jadi ajar depan
Iya saya akan memberikan solusi untuk menyelesaikan masalah tersebut,F,iya solusi selesai
saya akan membantu teman saya jika dia salah saya akan coba mrmbantu jika jesalahannya terlalu fatal maka saya akan memberitahu atau menasehati teman saya,F,bantu teman salah coba mrmbantu jesalahannya fatal memberitahu nasehat teman
menasehati nya membantu mensri solusi dan menanyakan kronologi kejadian tersebut ,F,nasehat nya bantu sri solusi kronologi jadi
saya akan mengingatkannya dan tidak membenarkan kesalahannya dan menyuruhnya untuk menghadapi konsekuensinya. Tetapi jika dia benar saya akan membantunya menemukan solusi untuk masalahnya,T,ingat benar salah suruh hadap konsekuensi bantu temu solusi
"Saya akan membantunya mencari solusi jalan damai meskipun dia salah, karena saya harap suatu masalah tidak diperpanjang sampai terjadi perkelahian",F,bantu cari solusi jalan damai salah harap panjang kelahi
saya akan menegaskan bahwa ia tetap salah dan menyuruhnya untuk menerima konsekuensi atas perbuatannya ,T,salah suruh terima konsekuensi buat
"Berani berbuat, berani tanggung jawab",T,berani buat berani tanggung
menegaskan bahwa ia tetap salah dan menyuruhnya untuk menerima konsekuensinya ,T,salah suruh terima konsekuensi
Mencarikan ia solusi untuk membantunya,F,cari solusi bantu
saya akan menyadarkan dia kalau dia itu salah dan seharusnya mengakui kesalahan dan mencari solusi agar cepat selesai,T,sadar salah aku salah cari solusi cepat selesai
Saya akan mencari atau memberikan solusi kepadanya karena kesalahan itu pasti bisa diperbaiki,F,cari solusi salah baik
menegaskannya dan harus menerima konsekuensinya,T,tegas terima konsekuensi
Saya akan tetap mengatakan jika ia salah terlebih dahulu. Namun saya akan tetap memberi solusi bagaimana cara memperbaiki atau hanya sekedar memecah masalahnya saja. Jika tidak bisa diperbaiki maka ia harus menerima konsekuensinya. ,F,salah solusi baik dar pecah baik terima konsekuensi
"Saya akan memberikan solusi untuk membantu nya, jika dia salah saya akan menegurnya dengan halus",F,solusi bantu nya salah tegur halus
"menegurnya.
dan memberi nasihat secara baik-baik untuk tidak memgulangi lagi.",F,tegur nasihat memgulangi
"saya cenderung menyuruh dia menerima konsekuensi, tetapi kalau sahabat saya meminta solusi. saya akan memberikan solusi, meskipun tidak memuaskan",T,cenderung suruh terima konsekuensi sahabat solusi solusi muas
jika memang sahabat kita melakukan kesalahan dan ia memang melakukannya kita akan memberikan sebuah nasihat untuk tidak mengulanginyaa dan akan melakukan konsekuensinya ,F,sahabat salah laku nasihat mengulanginyaa konsekuensi
saya akan mencari solusi meskipun sahabat saya salah tetap harus mendapatkan konsekuensinya,F,cari solusi sahabat salah konsekuensi
"berupaya mencari solusi yang baik
jika tidak ada maka dia harus menerima konsekuensi dari kesalahan yang dia buat ",T,upaya cari solusi terima konsekuensi salah
"Kalau saya saya sendiri saya akan berupaya mencari solusi permasalahan yang ia dapati semua, namun juga menegaskan bahwasannya ia harus mengubah sifat buruknya yang mendorong terjadinya suatu konflik.",F,upaya cari solusi masalah dapat bahwasannya ubah sifat buruk dorong konflik
Saya akan mencarikan solusi  untuk membantunya meskipun ia salah atau menegaskan bahwa dia salah karena dia adalah sahabat saya dan saya akan mengajaknya menjadi lebih baik,F,cari solusi bantu salah salah sahabat ajak
Menurut saya pribadi lebih baik memaafkan daripada tidak memaafkan karena Sifat memaafkan adalah sifatnya para ahli surga dan pahalanya tidak terbatas,F,pribadi maaf maaf sifat maaf sifat ahli surga pahala batas
"benar, saya akan mencari solusi walaupun dia yang salah, saya akan tetap menegurnya dan saya tidak membela meskipun teman dekat saya. ",T,cari solusi salah tegur bela teman
Iya,T,iya
"berusaha mencari solusi, jika teman saya yang salah maka saya berusaha untuk memberikan pengertian kepada dia kalau dia itu salah.",F,usaha cari solusi teman salah usaha erti salah
membantunya ,F,bantu
saya akan membantu mencari solusinya tapi jika memang salah saya hanya dapat melihatnya ,F,bantu cari solusi salah
saya akan memberi solusi jika keduanya tidak mendapatkan kejelasan,F,solusi jelas
"Saya akan mengatakan bahwa dia salah,  dan untuk bersiap menerima konsekuensinya",T,salah terima konsekuensi
saya akan berupaya mencari solusi untuk membantunyaa,F,upaya cari solusi membantunyaa
saya akan tetap memberi tahu titik kesalahan mereka agar dapat belajar dari kesalahan namun juga masih memberi semangat,F,titik salah ajar salah semangat
saya akan berusaha mencari solusi ,F,usaha cari solusi
menasehati+tell her to face the consequence,T,nasehat tell face consequence
Saya akan mengatakan bahwa ia salah,T,salah
"Memberikan sedikit solusi untuk kesalahannya, dan membiarkan ia sepenuhnya untuk menyelesaikan urusannya sendiri",F,solusi salah biar sepenuh selesai urus
menerima konsuensinya,T,terima konsuensinya
"Mencoba menyadarkannya terlebih dahulu bahwa itu merupakan konsekuensi yang harus diterimanya, dan berusaha mencari solusinya bersama sama",F,coba sadar konsekuensi terima usaha cari solusi
Menegaskan bahwa ia tetap salah,T,salah
Saya akan menegaskan atas kesalahannya agar ia dapat mengintropeksi diri dan tidak mengulangi kesalahan tersebut. Hal ini untuk menanamkan sikap tanggung jawab.,T,salah mengintropeksi ulang salah tanam sikap tanggung
Yaa saya akannn menenangkan dan menasehati untuk menyadarkan bahwa dia salah ,F,yaa akannn tenang nasehat sadar salah
Jika dia memang Salah saya akan menegaskan bahwa is tetapi Salah Dan menerima konsekuensinya.,T,salah salah terima konsekuensi
aku bakalan nasehati dia kalau memang dia yang salah dan tidak membenarkan perilakunya serta membantunya untuk menyelesaikan masalahnya.,F,nasehat salah benar perilaku bantu selesai
Aku akan membantu dia mencari solusi tetapi tidak membelanya karena dia di posisi yang salah,F,bantu cari solusi bela posisi salah
Saya akan menjadi penengah saja ,F,tengah
"mencarikannya solusi tetapi jika dia tidak bisa menerima solusi dari saya, saya pernikahan menerima konsekuensi",T,cari solusi terima solusi nikah terima konsekuensi
Mencari Solusi,F,cari solusi
saya akan mendampinginya dalam bertanggung jawab menebus kesalahanya serta mencari solusi ,F,damping tanggung tebus kesalahanya cari solusi
Ikut membantu mencari solusi dan menyadarkan bahwa tindakan mereka salah dan harus meneriman konsekuensi yang ada ,F,bantu cari solusi sadar tindak salah rim konsekuensi
"Saya prefer menegaskan bahwa dia salah walaupun terkadang di dalam diri saya masih ada keterikatan pertemanan yang mendorong saya untuk membela ia meskipun salah, tetapi pertanggungjawaban seperti minta maaf tetap harus dilakukan. ",T,prefer salah terkadang ikat teman dorong bela salah pertanggungjawaban maaf
Menasehatinya dengan baik baik dan memberitahukan ke dia kalau dia bersalah tapi setelah itu baru mencarikan sebuah solusi.,F,nasehat memberitahukan salah cari solusi
"Saya akan mencari solusi untuk membantunya dan mendukungnya, namun juga akan memberikan pandangan jujur tentang kesalahannya dan pentingnya menerima konsekuensinya.",F,cari solusi bantu dukung pandang jujur salah terima konsekuensi
memberitahukan kepadanya kalau dia salah dan mencari solusi agar masalah ini bisa selesai,F,memberitahukan salah cari solusi selesai
Mencari tau kesalahan apa yang di perbuat sampai terlibat konflik jika sudah mencari tau dan jika dia salah dalam hal ini maka sebaiknya menasehati nya dan melakukan pertanggung jawaban kesalahan yang dia buat dan meminta maaf agar tidak mengulangi kesalahan yang sama dan menjadikan sebagai pelajaran kedepannya ,F,cari salah buat libat konflik cari salah nasehat nya tanggung salah maaf ulang salah jadi ajar depan
"Bantu ngasih solusi sih mas, kesian",F,bantu ngasih solusi sih mas kesi
Menegaskan bahwa ia tetap salah dan membantunya mencari solusi.,T,salah bantu cari solusi
Tergantung bagaimana moodku,F,gantung moodku
menegaskan bahwa ia tetap salah dan harus menerima konsekuensinya karna ia telah berbuat,T,salah terima konsekuensi buat
saya akan memberi nya solusi untuk meringankan konsekuensinya dan menyuruh untuk menerima konsekuensinya ,F,nya solusi ringan konsekuensi suruh terima konsekuensi
saya akan memberi mereka solusi,F,solusi
saya akan menyuruh untuk introspeksi diri dan menerima konsekuensinya ,T,suruh introspeksi terima konsekuensi
"Ya saya akan membantunya, namun jika sahabat saya salah saya akan menyuruhnya untuk menerima konsekuensinya",T,iya bantu sahabat salah suruh terima konsekuensi
"Saya akan menjelaskan kesalahannya dan memberi solusi kepadanya, serta apa saja konsekuensi yang akan didapatkannya",F,salah solusi konsekuensi dapat
"saya akan mencari solusi untuk masalahnya tetapi ia juga harus menerima konsekuensinya. Jadi ia tahu bahwa ia salah, tetapi ia juga menyelesaikan masalahnya.",F,cari solusi terima konsekuensi salah selesai
memberi solusi dan menegaskan konsekuensi yang sudah diperbuat ,T,solusi konsekuensi
"tentu saja membantu mencari solusi terbaik, jika memang ada konsekuensinya, maka dia harus menerimanya. bagaimanapun juga, itu tetap kesalahannya.",F,bantu cari solusi baik konsekuensi terima salah
cenderung untuk menegaskan bahwa ia tetap salah dan menyuruhny untuk menerima konsekuensinya ,T,cenderung salah menyuruhny terima konsekuensi
Saya kan senantiasa menasehatinya dan menyuruhnya untuk menyelesaikan masalahnya dengan baik agar tidak terjadi permusuhan diantara mereka,T,senantiasa nasehat suruh selesai musuh
"Saya akan berusaha sebaik mungkin untuk menasehatinya, dan mencari solusi untuk dirinya tetapi untuk apakah dia menerima nasehat dari saya, itu adalah pilihannya.",F,usaha nasehat cari solusi terima nasehat pilih
Saya akan menegaskan bahwa ia tetap salah dan menyuruhnya menerima konsekuensu serta menasehati agar tidak mengulangi lagi,T,salah suruh terima konsekuensu nasehat ulang
"ya, saya sering memberi solusi setelah saya mendengar terlebih dahulu cerita teman saya yang tertimpa masalah walaupun itu kesalahannya sendiri",F,iya solusi dengar cerita teman timpa salah
"saya akan membiarkannya karena tidak ingin mencampuri urusan pertengkaran mereka, biarlah dia menyadari sendiri apa kesalahannya. itu lebih baik daripada harus merasa bersalah karena diberitahu ",F,biar campur urus tengkar biar sadar salah salah diberitahu
"jika sahabat saya terlibat konflik
yang terjdi krna kesalahannya. saya akan menasehatinya dan memcari solusi bersama sama",F,sahabat libat konflik terjdi krna salah nasehat memcari solusi
Ya,T,iya
Saya akan mencari informasi yang detail mengenai suatu masalah,F,cari informasi detail
saya akan membantunya mencari solusi dan menegaskan bahwa dia tetap salah,F,bantu cari solusi salah
Menyuruhnya untuk menerima konsekuensinya atas kesalahan nya sendiri,T,suruh terima konsekuensi salah nya
saya menegaskan bahwa ia tetap salah tapi saya turut membantu walaupun sekedar tempat cerita atau memberi saran ,T,salah bantu dar cerita saran
membantu untuk menyelesaikan masalah dengan mencari jalan keluar bersama dan menghiburnya ,F,bantu selesai cari jalan hibur
Membantu masalahnya biar cepet selesai dengan semampunya,F,bantu biar cepet selesai
