Indikator,Tipe,preprocessed_text
"saya akan menolak karena menurut saya tugas lebih penting, terlebih lagi saya tidak terlalu suka aktifitas di luar rumah",J,tolak tugas suka aktivitas rumah
"saya akan menolak, karena bertemu dengan teman bisa setelah saya mengerjakan pr yang harus diselesaikan ",J,tolak temu teman pr selesai
"Saya akan menolaknya dengan tegas, karena tugas saya lebih penting daripada urusan reuni dan semacamnya sehingga saya tidak menanggung beban tugas apapun lagi",J,tolak tugas urus reuni macam tanggung beban tugas apa
"Saya akan menolaknya dengan alasan saya akan belajar malam itu, karena ketika ada suatu kewajiban maka harus dilaksanakan, dan jika saya menggambil tawarannya maka saya akan mengorbankan PR saya",J,tolak alas ajar malam wajib laksana menggambil tawar korban pr
"saya akan menemuinya tetapi dengan durasi waktu yang tidak lama, jadi saya bisa pulang dan mengerjakan pr.",P,temu durasi pulang pr
menolak nya dan memberikan alasan yang tepat ,J,tolak nya alas
"saya lebih sering meninggalkan PR, dan memilih berkumpul dengan teman², karena masih ada waktu untuk mengerjakan PR tsb, dan saya masih ingin menghabiskan waktu dengan teman² saya, karena saya tau, momen momen tsb tidak akan pernah terulang lagi, mungkin bisa terulang, tapi tidak dengan kenangannya.",P,tinggal pr pilih kumpul teman pr habis teman momen momen ulang ulang kenang
"saya akan menolak ajakannya, karena PR merupakan prioritas untuk saya, bertemu teman lama bisa dilakukan jika sama” ada waktu luang",J,tolak aja pr prioritas temu teman luang
Saya akan membawa pr saya ke pertemuan dan mengerjakannya . karena saya tidak ingin tertinggal berita tentang kabar teman teman saya,P,bawa pr temu kerja tinggal berita kabar teman teman
Saya menolak teman lama saya dengan halus karena ada kepentingan yang sangat mendesak,J,tolak teman halus penting desak
Saya tidak menerima tawaran ajakan teman saya karena saya tidak bisa menunda tugas dan menyelesaikan tidak pada waktunya hal tersebut bisa menambah beban dari kegiatan sekolah saya nantinya,J,terima tawar aja teman tunda tugas selesai tambah beban giat sekolah
saya akan menolak dan memberikan alasan sesuai dengan yang ada yaitu saya memiliki tugas yang belum saya kerjakan,J,tolak alas sesuai milik tugas kerja
saya akan menolaknya dengan baik-baik dan berkata saya sibuk ada tugas yang harus dikumpulkan besok,J,tolak sibuk tugas kumpul besok
cara saya menyikapi dengan cara menopakny dengan baik2,J,sikap menopakny
"Mengiyakan ajakannya, karena jarang bertemu dan saat pulangnya melanjutkan pr yang belum dikerjakan",P,iya aja jarang temu pulang lanjut pr
Saya akan menyelesaikan pr terlebih dahulu dan izin kepada temen untuk datang terlambat ,J,selesai pr izin temen lambat
"saya akan tetap datang ke acara tersebut dan sebelum datang ke acara maka saya akan mengerjakan tugas tersebut, alasannya adalah saya tidak akan tau itu pertemuan terakhir dari saya atau teman saya ",P,acara acara tugas alas temu teman
"Menolaknya dengan sopan, karena PR bisa menunjang nilai bagi raport kita. Main bisa kapan pun tapi jika PR harus diselesaikan.",J,tolak sopan pr tunjang nilai raport main pr selesai
"menyanggupi, tapi saya akan mengerjakan pr saya terlebih dahulu baru bertemu dengan teman saya, agar tidak ada tanggungan dan lebih leluasa dalam bermain",J,sanggup pr temu teman tanggung leluasa main
"menolak dengan menjelaskan nya dengan baik bahwasannya ada tugas yang harus diselesaikan malam itu, dan memberikan saran untuk keluar dilain hari",J,tolak nya bahwasannya tugas selesai malam saran lain
menolaknya bila tidak bisa membawa tugas untuk di kerjakan di tempat pertemuan dengan teman,J,tolak bawa tugas kerja temu teman
