Indikator,Tipe,preprocessed_text
tidak mau atau tergantung situasi nya,S,gantung situasi nya
Menerimanya karena kesempatan pengalaman itu yang harus diutamakan,N,terima sempat alam utama
saya akan mencoba karena itu kesepatan buat saya ,N,coba sepat
"jika saya memang suka dan minat di bidang itu akan saya pertimbangkan, dan jika tidak saya akan menolakmya",S,suka minat bidang timbang menolakmya
"saya akan mempelajarinya dahulu, dan jika di bidang itu saya mempunyai bakat saya akan menerima tawaran tersebut ",N,ajar bidang bakat terima tawar
"Saya akan bersedia mengikuti lomba tersebut semampu saya, meskipun saya gagal saya masi mendapatkan ilmu dan dapat mengembangkan lebih baik",N,sedia ikut lomba gagal ilmu kembang
"menerima tawaran itu, karena guru tersebut sudaa memberikan kepercayaan kepada saya dan saya tidak ingin mengecewakan guru saya",S,terima tawar guru sudaa percaya kecewa guru
Menyiapkan apa yang mau di ikuti lombanya,N,ikut lomba
"saya setujui bahkan jika bidang trsbt blm saya kuasai, karena itu termasuk cara untuk mendapatkan pengalaman baru dan keluar dari zona nyaman",S,tuju bidang kuasa alam zona nyaman
"Saya akan menerimanya, karena apabila kita hanya berada dalam zona aman kita, kita tidak akan pernah bisa berkembang. Selain itu, mencoba hal baru bisa menjadi pengalaman untuk kita kedepannya ",S,terima zona aman kembang coba alam depan
"saya akan berpikir terlebih dahulu dan jika saya merasa bahwa saya mampu, makan saya akan menerima tawaran tersebut",N,pikir makan terima tawar
Saya akan menyikapinya dengan menolak secara baik baik dan mengungkapkan alasan kenapa saya tidak bisa mengikuti lomba tersebut,S,sikap tolak alas ikut lomba
menerima karna diberikan fasilitas mentor dan saya akan mencobanya terlebih dahulu,S,terima fasilitas mentor coba
"Sebagai contoh, saya tidak bisa bernyanyi namun saya diberi tawaran untuk mengikuti lomba bernyanyi dan diberi fasilitas guru pengajar bernyanyi. Jelas saya akan menerima tawaran itu, selain akan memberi pengalaman baru, saya juga akan mendapat pembelajaran baru yang sebelumnya saya tidak bisa melakukannya. ",N,contoh nyanyi tawar ikut lomba nyanyi fasilitas guru ajar nyanyi terima tawar alam ajar laku
"Cara saya menyikapinya, dengan menerima dan mengikuti apa yang di jelaskan oleh mentor lalu saya mempelajari yang di jelaskan",S,sikap terima ikut mentor ajar
"menerimanya.
apa salahnya mencoba hal hal baru.",S,terima salah coba
"saya termasuk orang pemilih dalam suatu hal, saya juga bukan orang yang terlalu suka dengan hal hal yang terkait dengan menghitung. kalau semisal lomba tersebut tentang pelajaran menghitung mungkin saya tidak akan menerima meskipun ada bimbingan mentor. akan tetapi, kalau lomba berkaitan dengan seni ataupun pelajaran diluar menghitung. saya akan bersedia, dan tentunya sangat senang dengan penambahan fasilitas mentor. tetapi kembali lagi, apabila saya sedang ingin ikut lomba. apapun lombanya pasti saya ikuti.",N,orang pilih orang suka kait hitung lomba ajar hitung terima bimbing mentor lomba kait seni ajar luar hitung sedia senang tambah fasilitas mentor lomba apa lomba ikut
saya akan mencoba terima tawaran tersebut karena dengan kita belajar hal baru kita akan menemukan dunia baru diluar lingkungan kita dan menambahkan pengetahuan untuk masa depan ,N,coba terima tawar ajar temu dunia luar lingkung tahu
sebelum hari h kita belajar terlebih dahulu menkipun kita tidak mendapatkan podium setidaknya kita bisa belajar dari pengalaman tersebut,N,ajar menkipun podium ajar alam
"menerima tawaran tersebut, dan menurut ku tidak ada salahnya mencoba dan berusaha ",N,terima tawar ku salah coba usaha
Saya akan mempertimbangkannya karena yang pertama saya sendiri kurang percaya diri dengan kemampuan saya. Dan yang kedua saya takut jika saya gagal dan mengecewakan guru serta mentor saya,S,timbang percaya mampu takut gagal kecewa guru mentor
Saya akan mengikutinya selama saya bisa melakukannya,S,ikut laku
Menurut saya pribadi menolaknya dengan sopan karena ini bukan keahlian dibidang kita walaupun ada yang juga begitu untuk berusaha mencobanya,S,pribadi tolak sopan ahli bidang usaha coba
"tergantung lomba yang akan ditawarkan. apabila lomba menyanyi, menari, olahraga berat,  jelas saya tidak bisa.",S,gantung lomba tawar lomba nyanyi tari olahraga berat
Akan mencoba nya dan belajar dengan sungguh sungguh,N,coba nya ajar sungguh sungguh
menolak dengan secara baik-baik,S,tolak
tidak bersedia ,S,sedia
saya sering merasa bimbang karena saya merasa ragu karena belum terlalu mengusai bidang tersebut tapi jika guru memberi fasilitas mentor saya akan mencobanya,N,bimbang ragu usai bidang guru fasilitas mentor coba
jika itu bukan bidang yg saya minati saya tidak ikut,S,bidang minat
Mengikuti kegiatan tersebut dengan harapan bisa belajar hal yang baru,N,ikut giat harap ajar
saya akan sedikit menolak karena saya tidak percaya diri untuk ikut lomba tersebut ,S,tolak percaya lomba
"saya akan menolak secara baik baik, karena saya tidak suka keluar dari zona nyaman",S,tolak suka zona nyaman
berusaha untuk mencobanya,N,usaha coba
tergantung apakah tabrakan dengan jadwal/lomba lain yang sesuai minat,S,gantung tabrak jadwal lomba sesuai minat
Jika saya rasa saya punya waktu yang cukup saya akan melakukannya,N,laku
"Bersedia, setelah satu hari memikirkan dulu konsekuensinya, kegetiran usaha dan proses dalam berlatih untuk mengikuti lomba tersebut",N,sedia pikir konsekuensi getir usaha proses latih ikut lomba
saya bersedia selama waktu saya senggang,N,sedia senggang
Menerimanya dan berusaha memanfaatkan segala keuntungan tersebut dengan baik,N,terima usaha manfaat untung
Menerima nya dengan senang hati,N,terima nya senang hati
Saya akan melihat topik lomba tersebut apabila sesuai dengan minat saya maka saya akan menyetujuinya namun apabila sekiranya kurang menarik bagi saya maka saya akan menolaknya dengan sopan dan penuh pertimbangan,S,topik lomba sesuai minat tuju tarik tolak sopan penuh timbang
Saya akan mencoba terlebih dahulu karena belajar hal baru itu perlu,N,coba ajar
"Selama Hal itu tidak ada matematika yang level tinggi, saya akan mempertimbangkannya",N,matematika level timbang
"aku terima, karena aku suka melakukan hal baru terlebih lomba. kemarin saya ditawari ikut lomba lkti, dan aku nekat ikut karena aku pingin nambah pengalaman.",N,terima suka lomba kemarin tawar lomba lkti nekat pingin alam
"Aku akan menolak tawaran tersebut, karena belum menguasai materi yang dilombakan dan semisal di fasilitasipun belum tentu menguasai materi tersebut dalam waktu singkat alhasil usahanya sia-sia ",S,tolak tawar kuasa materi lomba fasilitas kuasa materi singkat alhasil usaha sia sia
Saya akan menolak secara halus dan memberitahu ke dia kalo lomba tersebut tidak bisa saya kuasai karna itu bukan bidang saya ,S,tolak halus memberitahu lomba kuasa bidang
menolak secara halus. saya kurang percaya diri disaat saya di tawarkan kesempatan yang sebelumnya memang bukan kemampuan saya,S,tolak halus percaya saat tawar sempat mampu
MENERIMA DAN BERUSAHA SEBELUM LOMBA,N,terima usaha lomba
"saya selalu siap sedia untuk menerima tawaran yang dapat mengembangkan potensi saya walaupun saya belum menguasai, tapi mnrt saya yg terpenting adalah pengalaman dan keinginan saya untuk mencoba hal tersebut",N,sedia terima tawar kembang potensi kuasa mnrt penting alam coba
Saya terima tawaran tersebut dengan belajar sedikit demi sedikit lomba dalam bidang tersebut,N,terima tawar ajar lomba bidang
"Karena saya pernah mengalami hal tersebut , cara menyikapinya pun dengan menerima dan mencoba. Untung nya dari menerima dan mencoba dapat membuahkan hasil yang sesuai dengan usaha saya. ",N,alami sikap terima coba untung nya terima coba buah hasil sesuai usaha
"Saya akan menolaknya secara halus, saya mohon maaf karena saya belum mempunyai bakat di bidang tersebut dan kemampuan saya kurang untuk mengikuti lomba tersebut.",S,tolak halus mohon maaf bakat bidang mampu ikut lomba
Saya akan menerima tawaran tersebut dengan senang hati dan bersedia bekerja sama dengan mentor untuk mempersiapkan diri sebaik mungkin untuk lomba tersebut.,S,terima tawar senang hati sedia mentor lomba
"kalau saya, lebih baik menolak karena saya lebih mencari amannya, soalnya aku gabisa, kecuali kalau terpaksa yaudah gas aja hehe",S,tolak cari aman gabisa kecuali paksa yaudah gas hehe
Saya akan mempelajari nya meskipun belum menguasainya dan saya akan bertanya kepada mentor agar persiapan lomba itu matang dan sempurna serta mencoba mempraktekkan nya supaya bidang yang belum saya kuasai dapat saya kuasai lebih baik ,N,ajar nya kuasa mentor siap lomba matang sempurna coba praktek nya bidang kuasa kuasa
"Sikat mas, kapan lagi yakan?


Ndak, ndak ada cerita panjang dibawah sini, intinya sih sikat aja, ambil aja, nikmat manalagi yang kamu dustakan coba?",N,sikat mas yakan cerita bawah inti sih sikat ambil nikmat dusta coba
Menerima lomba yang ditawari. Tidak ada salahnya mencoba ,N,terima lomba tawar salah coba
Aku akan menerimanya karena aku akan mengambil pengalamannya ,N,terima ambil alam
menolaknya dengan sopan dan memberikan alasan kenapa saya bisa menolaknya agar tidak terjadi kesalah pahaman,S,tolak sopan alas tolak salah paham
"Artinya: ""Maka nikmat Tuhan kamu yang manakah yang kamu dustakan?""

maka dari itu saya akan menerima itu karena itu adalah berkah, dan itu juga kesempatan",N,nikmat tuhan mana dusta terima berkah sempat
saya akan mencoba jika fasilitas mentor tersebut menyakinkan,S,coba fasilitas mentor menyakinkan
saya akan mempertimbangkan untuk lebih lanjut karena saya belum menguasai bidang tersebut,N,timbang kuasa bidang
Saya akan menerima tawaran tersebut jika tidak terlalu membebani jadwal saya,N,terima tawar beban jadwal
"Saya akan menerimanya, karena hal baru menurut saya adalah suatu hal yang sangat menarik, dan fasilitas mentor adalah suatu hal yang dapat menunjang proses belajar saya dalam mempelajari bidang yang belum saya kuasai",N,terima tarik fasilitas mentor tunjang proses ajar ajar bidang kuasa
"Saya dengan senang hati akan menerimanya, karena itu bisa mengembangkan bakatku. Tetapi aku lebih cenderung takut kalah, dan malah mengecewakan guru/orang yang mempercayaiku mengikuti lomba tersebut.",N,senang hati terima kembang bakat cenderung takut kalah kecewa guru orang percaya ikut lomba
"menerima,berusaha memenangkan lomba agar yang memfasilitasi ikut bangga dengan amanah yang diberikan kepada kita ",N,terima usaha menang lomba fasilitas bangga amanah
"saya akan menjalaninya, dan berusaha semaksimal mungkin untuk mencobanya",N,jalan usaha maksimal coba
saya akan menerimanya karena saya suka mencoba hal baru,N,terima suka coba
Mungkij saya akan menerimanya jika tawaran lomba itu bukan tentang perhitungan,N,mungkij terima tawar lomba hitung
Saya akan menerima dan berusaha sebaik mungkin untuk dapat menguasai bidang tersebut karena hal ini merupakan kesempatan saya dalam mengembangkan skill saya dalam bidang tersebut terlebih lagi akan ada lomba yang membuat pengalaman saya bertambah ,N,terima usaha kuasa bidang sempat kembang skill bidang lomba alam tambah
Saya akan menerima tawaran lomba tersebut dan bersedia mengikutinya karna ada dampingan dari mentor,N,terima tawar lomba sedia ikut damping mentor
saya kurang berkenan untuk menerima tawaran tersebut,S,kenan terima tawar
"menolaknya dengan baik-baik karena bidang tersebut tidak sesuai dengan keahlian dan passion saya. dan jika dipaksa, dengan terpaksa saya akan menerimanya dengan pasrah",S,tolak bidang sesuai ahli passion paksa paksa terima pasrah
saya akan menolaknya dengan baik baik,S,tolak
"Menolak, karena tidak sesuai dengan bidang saya",S,tolak sesuai bidang
Mengikuti alurnya,N,ikut alur
mungkin saya akan mencoba hal baru,N,coba
"Menolak dengan sopan, karna jika bukan bidang yang kita kuasai sekalipun mendapatkan fasilitas tidak akan menyukainya.",S,tolak sopan bidang kuasa fasilitas suka
"menerima, karena menurut saya selagi hal itu bermanfaat untuk saya, maka akan saya lakukan",N,terima selagi manfaat laku
"memikirkannya lebih lanjut terlebih dahulu, setelah dipikir dengan matang jika tidak dapat menguasainya sebaiknya menolak dengan baik",S,pikir pikir matang kuasa tolak
mengikutinya walaupun tidak paham,N,ikut paham
