Indikator,Tipe,preprocessed_text
"Untuk mendapatkan kesenang, ketenangan dan mood, saya akan menonton kpop/ kdrama sambil memakan cemilan selain itu saya akan pergi ke mall untuk melihat lihat atau berbelanja ",I,senang tenang mood tonton kpop kdrama makan cemilan pergi mall lihat belanja
"scroll tiktok/ig, mendengarkan lagu dan nonton film",I,scroll tiktok ig dengar lagu nonton film
"Basket, Bermain Musik,Berorganisasi",E,basket main musik organ
"menghabiskan waktu dengan pergi keluar bersama teman teman, mengunjungi tempat yang terdapat live music, di beberapa kondisi saya menginginkan untuk sendiri menghabiskan waktu di kamar dengan membeli beberapa makanan atau minuman",E,habis pergi teman teman unjung live music kondisi habis kamar beli makan minum
Tidur dan melihat film adalah cara saya untuk merecharge energi saat disekolah semisal mengantuk,I,tidur film merecharge energi seko antuk
"Biasanya saya menghabiskan banyak waktu di mall, seperti melihat barang yang bisa saya masukkan ke dalam waiting list. Walau hanya melihat justru membuat saya termotivasi untuk menabung agar bisa membeli barang tersebut. ",I,habis mall barang masuk waiting list motivasi tabung beli barang
"Dengan cara 
1. Tidur: dihari jumat setelah pulang sekolah biasanya saya tidur lebih lama daripada biasanya dari jam 19.00 - 08.00 
2. Main game: satu satunya cara untuk menenangkan pikiran adalah bermain game sejenak sebelum belajar, agar mengalihkan perhatian otak agar tidak terlalu stress
3. Main bersama teman²: apapun kegiatan yang kita lakukan bersama² pasti membuat happy dan bikin mood naik",E,tidur hari jumat pulang sekolah tidur jam main game satu tenang pikir main game ajar alih perhati otak stress main teman apa giat laku happy bikin mood
"Saya biasanya menghabiskan waktu untuk istiraht dengan cara healing atau berliburan ke tempat yang sangat nyaman untuk merilekskan diri seperti mendaki gunung, kepantai atau pergi ke puncak",I,habis istiraht healing libur nyaman rileks daki gunung pantai pergi puncak
"kalau saya biasanya akan membuka tiktok, atau sosmed, biasanya juga ngedit atau ngedisain dan tidur dan makan dan melihat inspirasi ngedit hehe",I,buka tiktok sosmed ngedit ngedisain tidur makan inspirasi ngedit hehe
Biasanya menghabiskan waktu untuk tidur seharian agar mendapatkan mood yang bagus dan berdiam diri di kamar sambil mendengarkan musik serta menonton film ,I,habis tidur hari mood bagus diam kamar dengar musik tonton film
"Solat, itikaf, tidur, dengerin lagu, pijet, udah capek buat ngapa ngapain mas, lagi pengen istirahat aja",I,solat itikaf tidur dengerin lagu pijet capek ngapa ngapain mas ken istirahat
"Biasanya saya akan menonton drakor untuk mendapatkan energi, selain itu saya belajar.",I,tonton drakor energi ajar
Aku akan pergi dengan teman temanku dan bersenang senang bersama mereka,E,pergi teman teman senang senang
ketenangan dengan cara mendengarkan lagu sambil bersantai dirumah dan tanpa memilki pikiran sudah merupakan sebuah kesenangan sendiri,I,tenang dengar lagu santa rumah memilki pikir senang
"main ml, tidur, makan/jajan, sunmori/nightride(bepergian), baca komik",I,main ml tidur makan jajan sunmori nightride pergi baca komik
menonton film atau menggambar,I,tonton film gambar
kesenangan karena dapat berkumpul dengan teman teman,E,senang kumpul teman teman
Mengisolasi diri sendiri ke tempat yang tenang dan jauh dari keramaian serta hanyut dalam dinamisme musik yang saya dengarkan,I,isolasi tenang ramai hanyut dinamisme musik dengar
"Bermain game, belajar, dan mendengarkan musik karena ketiga hal tersebut membuat pikiran saya semakin terelaksasi dan tenang",I,main game ajar dengar musik tiga pikir relaksasi tenang
"mengunci diri di kamar dengan mendengarkan musik, dance, berolahraga, dan beristirahat ",I,kunci kamar dengar musik dance olahraga istirahat
rutinitas  yang membuat saya senang ya itu nongki sama teman teman ,E,rutinitas senang iya nongki teman teman
"biasanya saya menghabiskan waktu dengan olahraga, contoh jogging, lompat tali, workout ringan, dan terkadang juga sekedar bermain game",I,habis olahraga contoh jogging lompat tali workout ringan terkadang dar main game
"biasanya saya menghabiskan waktu untuk mendapatkan energi (kesenangan, ketenangan, atau mood) saya melakukan hal yang saya sukai, seperti bernyanyi, mendengarkan musik favorit, dan menari",I,habis energi senang tenang mood suka nyanyi dengar musik favorit tari
Saya biasanya mendengarkan lagu atau menonton film yang mengandung scients-fiksi,I,dengar lagu tonton film kandung scients fiksi
"Hal yang saya lakukan adalah seperti salat  , makan, tidur, nonton film, merenungi hal hal yang telah saya lakukan.",I,laku salat makan tidur nonton film renung laku
Biasanya saya menonton film dan mendengarkan musik untuk menenangkan dan menaikkan mood saya ,I,tonton film dengar musik tenang naik mood
"saya habiskan waktu untuk mendapatkan kesenangan dari bermain game atau sekedar mendengarkan musik, terutama dengan menonton film/drama",I,habis senang main game dar dengar musik tonton film drama
"bermain game, mendengarkan musik, menggambar, membaca komik, dan menonton film ",I,main game dengar musik gambar baca komik tonton film
"yang saya lakukan ketika ingin mendapat energi untuk mengembalikan mood saya biasanya dengan cara makan, tidur, share about my day with my friends",E,laku energi kembali mood makan tidur share day friends
"berkumpul dengan teman teman, belanja, dan berkeliling kota di malam hari",E,kumpul teman teman belanja keliling kota malam
Dengan cara bergurau bersama teman dan menambah teman,E,gurau teman tambah teman
setelah pulang sekolah saya mengisi waktu luang dengan olahraga dan bermain game untuk memperbaiki mood ,I,pulang sekolah isi luang olahraga main game baik mood
Pada hari sabtu dan minggu biasanya saya gunakan untuk healing menghilangkan penat nya belajar.,I,sabtu minggu healing hilang penat nya ajar
untuk mendapatkan energi biasanya saya berdiam diri di kamar sembari bermain gadget tanpa mengobrol dengan siapapun hingga saya merasa semangat kembali,I,energi diam kamar sembari main gadget obrol semangat
