Indikator,Tipe,preprocessed_text
Terkadang saya menyadari kesalahan saya namun saya tidak menyalahkan hal yang tidak sesuai ,N,terkadang sadar salah salah sesuai
Kesempatan dong,N,sempat
kadang melihatnya agar saya bisa tahu mana yang salah dan bisa untuk lebih meningkatnya tetapi kadang juga saya lebih milih untuk tidak melihat karna bisa membuat saya putus asa ,S,kadang salah tingkat kadang milih putus asa
Saya sendiri menjadi kesalahan sebagai pembelajaran dan menjadikannya sebagai motivasi ,N,salah ajar jadi motivasi
Cenderung mencari kesalahan,S,cenderung cari salah
mencari kesalahan dan kelemahan ,S,cari salah lemah
Awalnya saya menyalahkan namun seiring berjalannya waktu saya akan terus mencoba meningkatkan diri saya,N,salah iring jalan coba tingkat
melihat kesalahan untuk meningkatkan lagi,N,salah tingkat
"tidak, menjadikan kesalahan menjadi motivasi untuk lebih baik tanpa harus menyalahkan hal yang tidak sesuai",N,jadi salah motivasi salah sesuai
"kalau saya gagal berarti saya harus mencobanya lagi, mencoba terus dan terus sampai berhasil ",N,gagal coba coba hasil
mencari kesalahan saya dan menyalahkan diri sendiri kenapa gagal,S,cari salah salah gagal
Belajar dengan giat untuk mengikuti tes yang sudah gagal tadi dan berdoa ,N,ajar giat ikut tes gagal doa
saya sangat tidak suka dengan kegagalan daya akan merenungi dan mencoba semangat kembali untuk belajar kembali,N,suka gagal daya renung coba semangat ajar
"bagi saya kegagalan itu wajar, karna kita masi belajar ",N,gagal wajar ajar
"jika saga melihat atau melakukan kesalahan saya pasti akan menyesali, tetapi dibalik itu saya akan mempelajari kesalahan saya dan malakukan yang lebih baik dari kemarin",N,saga salah sali balik ajar salah malakukan kemarin
Saya akan melihatnya sebagai kesempatan untuk belajar meningkatkan keterampilan supaya saya lebih berpengalaman,N,sempat ajar tingkat terampil alam
melihatnya sebagai kesempatan untuk belajar dan meningkatkan keterampilan ,N,sempat ajar tingkat terampil
"kegagalan merupakan proses untuk berhasil, sehingga saya akan tetap semangat untuk belajar",N,gagal proses hasil semangat ajar
"Saya cenderung melihatnya sebagai kesempatan, karena menurut saya kegagalan bukan akhir dari segala, dari kegagalan saya juga jadi banyak belajar ",N,cenderung sempat gagal gagal ajar
kegagalan bukan berarti semua berakhir jadi dari kegagalan biasanya saya buat pembelajaran agar ke depan tidak mengulangi pemicu kegagalan dari sebelumnya,N,gagal gagal ajar ulang picu gagal
Ketika saya melihat kegagalan atau kesalahan mungkin saya akan menyalahkan dirii saya sendiri dan mengurung diri saya sendiri untuk beberapa hari kemudian saya mencari kesalahan dan meningkatkan apa yang kurang dalam usaha saya,S,gagal salah salah diri urung cari salah tingkat usaha
"kegagalan adalah awal dari kesuksesan, saat gagal mungkin saya akan menyiapkan hal² yang lebih baik dari sebelumnya",N,gagal sukses gagal
"Melalukan kesalahan dalam hidup itu sebuah kewajaran. Namun menurut saya, justru dengan kesalahan yang pernah kita lakukan akan menjadikan kita pribadi yang lebih membangun dan cenderung akan berusaha lebih keras lagi agar menciptakan hasil yang lebih maksimal. ",N,lalu salah hidup wajar salah laku jadi pribadi bangun cenderung usaha keras cipta hasil maksimal
"Saya mungkin akan mencari kesalahan nya dahulu, lalu saya menggunakan kesempatan nya untuk meningkatkan keterampilan saya",S,cari salah nya sempat nya tingkat terampil
"jika saya gagal saya akan mencari dimana letak kegagalan tersebut.
setelah itu saya akan terus meningkatkan dan lebih fokus terhadap tujuan saya. apapun hasil nya.",N,gagal cari mana letak gagal tingkat fokus tuju apa hasil nya
"menurut saya, kegagalan saya merupakan langkah awal untuk menuju kesuksesan. karena dalam sebuah usaha jika tidak ada suatu proses kegagalan psti tidak akan lengkap. ketika gagal, saya mencari apa yang kurang dalam kegagalan tersebut. setelahnya bisa mencoba kembali",N,gagal langkah sukses usaha proses gagal psti lengkap gagal cari gagal telah coba
jika mengalami kegagalan memang ada rasa kekecewaan tetapi dengan kegagalan tersebut kita dapat mengevaluasi diri untuk menjadi lebih baik untuk kedepan ,N,alami gagal kecewa gagal evaluasi depan
kita tidak boleh menyalahkan kesalahan seseorang kita harus memotivasi agar kesalahan tersebut menjadi cerminan/pembelajaran yang kita ambil dari kesalahan kita,N,salah salah motivasi salah cermin ajar ambil salah
saya cenderung mencari kesalahan dan menyalahkan diri yang tidak sesuai ,S,cenderung cari salah salah sesuai
"Bagi saya kegagalan itu adalah suatu proses, dan kesalahan adalah suatu hal yang harus diperbaiki. Kedua hal tersebut memang saling terikat sehingga ketika melakukan kedua hal tersebut saya cenderung mencari kesalahan dan mengubah kesalahan tersebut menjadi pembelajaran yang lebih baik untuk kedepannya",N,gagal proses salah baik ikat cenderung cari salah ubah salah ajar depan
"Jika nilai saya terlihat jelek, iya saya akan belajar lebih baik lagi",S,nilai jelek iya ajar
"saya cenderung sangat mengamati kegagalan, saya sering menganalisa kegagalan dengan sangat mendetail.",S,cenderung amat gagal menganalisa gagal detail
Menjadikan kegagalan sebagai keberhasilan,S,jadi gagal hasil
saya harus berusaha semaksimal mungkin agar kesalahan yang saya pernah lakukan tidak akan saya ulangin lagi.,S,usaha maksimal salah laku ulangin
menyalahkan ,S,salah
saya sering melihatnya sebagai kesempatan untuk belajar dan meningkatkannya,N,sempat ajar tingkat
mencari apa kesalahan nya dan mencoba agar tidak gagal lagi,S,cari salah nya coba gagal
Saya menjadikannya motivasi untuk lebih baik kedepannya,N,jadi motivasi depan
cenderung mencari kesalahan lalu sebagai kesempatan belajar,S,cenderung cari salah sempat ajar
"saya sangat sering mencari kesalahan dalam diri saya untuk meningkatkan/merubah keterampilan, tapi itu membuat saya menjadi insecure atau minder",S,cari salah tingkat ubah terampil insecure minder
Ya tentu dengan mencoba nya apabila gagal terus coba hingga berhasil ,N,iya coba nya gagal coba hasil
"i dont know i see the slightest mistakes in everything i do, tapi iya i try to see it as an opportunity to improve",N,dont know see slightest mistakes everything iya try see opportunity improve
Pada akhirnya says melihatnya sebagai pelajaran,N,says ajar
"Menyatakan bahwa, penyalahan terhadap hal yang tidak sesuai, tergantung pada hal yang dikerjakan, apabila terkerjakan dengan kondisi yang amat menekan oleh sistem kemudian seharusnya tidak dikerjakan secara normal. (Di buru-buru)

Namun ""lebih melihat"" sebagai kesempatan untuk belajar dan meningkatkan kemampuan",S,salah sesuai gantung kerja kondisi tekan sistem normal buru buru sempat ajar tingkat mampu
lebih sering dibuat evaluasi tapi terkadang masih menyalahkan diri sendiri ,S,evaluasi terkadang salah
Melihatnya sebagai kesadaran bahwa saya masih bisa dan butuh berkembang untuk menjadi lebih baik lagi,N,sadar butuh kembang
Mencari kesalahan ,S,cari salah
"Saya melihat kegagalan sebagai sebuah pelajaran, meskipun tak terpungkuri bahwa akan disertai oleh rasa penyesalan, namun saya masih bisa menerima suatu kegagalan tersebut",S,gagal ajar pungkur serta sesal terima gagal
Menurut saya akannn menjadikan pelajaran untuk meningkatkan keterampilan,N,akannn jadi ajar tingkat terampil
Tentu saya akan melihat lebih dekat dengan cara untuk memperbaiki kesalahan tersebut.,N,baik salah
"meningkatkan keterampilan sih, walau butuh proses yang agak lama soalnya ngumpulin semangat buat belajar lagi ",S,tingkat terampil sih butuh proses ngumpulin semangat ajar
Aku akan mengambil pelajaran dari setiap kegagalan,N,ambil ajar gagal
Saya akan mencari tahu dimana kesalahan saya lalu saya akan memperbaikinya ,S,cari mana salah baik
awal nya saya merasa tidak bisa dalam melakukan hal tersebut dan cenderung menjauhkan diri saya dari kegiatan tersebut. Akan tetapi jika saya berpikiran jernih saya akan menganggapnya sebuah pengalaman dan berusaha melakukan lebih baik kedepannya.,S,nya cenderung jauh giat pikir jernih anggap alam usaha depan
Evaluasi untuk kedepannya,N,evaluasi depan
"kesalahan pasti ada di setiap proses, saya melihat kegagalan sebagai proses dalam berkembang",N,salah proses gagal proses kembang
"Jikalau saya gagal saya yakin itu bukan kegagalan, tetapi saya menganggap bukan kegagalan tetapi memang belom waktunya, dan jikalau memang kegagalan, saya menganggap kegagalan tersebut belajar untuk meningkatkan keterampilan",N,gagal gagal anggap gagal bom gagal anggap gagal ajar tingkat terampil
Terkadang saya menyalahkan hal yang tidak sesuai tapi setelah beberapa hari membuat saya berfikir kembali bahwa kesalahan tersebut bisa saya pelajari kembali untuk meningkatkan keterampilan. ,S,terkadang salah sesuai pikir salah ajar tingkat terampil
"Terkadang menyalahkan diri sendiri karena gagal tapi itu tidak akan merubah kegagalan menjadi kesuksesan maka drpd saya menyalahkan diri sendiri, saya lebih baik mengembangkan diri sendiri menjadi lebih baik lagi, meskipun gagal lagi harus tetap semangat untuk terus berdiri sampai berhasil.",N,terkadang salah gagal ubah gagal sukses drpd salah kembang gagal semangat diri hasil
"Saya cenderung melihat kegagalan sebagai kesempatan untuk belajar dan meningkatkan keterampilan, bukan untuk mencari kesalahan atau menyalahkan hal yang tidak sesuai.",N,cenderung gagal sempat ajar tingkat terampil cari salah salah sesuai
"mencari kesalahan dan menyalahkan tapi terkadang aku ""yaudah sih wir""",S,cari salah salah terkadang yaudah sih wir
Untuk melihat kegagalan dalam diri sendiri biasanya saya memperbaiki dahulu dan melihat kegagalan saya berada dimana jika kegagalan tersebut sudah terlihat maka saya akan meningkatkan kualitas tersebut agar saya tidak gagal lagi dan jika masih gagal saya akan mencoba lagi sampai tidak gagal,N,gagal baik gagal mana gagal tingkat kualitas gagal gagal coba gagal
"Saya ngelihatnya pakai mata sih mas, hehe

Ndak ndak, kalau saya pribadi biasanya melihat kegagalan sebagai hasil dari usaha saya yang tidak maksimal atau ketidakmampuan saya dalam menyusun suatu rencana, jadi dari situ saya tarik beberapa benang merah yang menjadi poin vital kesalahan saya dan saya gunakan untuk berbenah",N,ngelihatnya pakai mata sih mas hehe pribadi gagal hasil usaha maksimal ketidakmampuan susun rencana situ tarik benang merah poin vital salah benah
Cenderung menyalahkan hal yang tidak sesuai.,S,cenderung salah sesuai
Mencari kesalahan ,S,cari salah
melihatnya sebagai kesempatan belajar untuk lebih giat lagi dan belajar dari masa lalu,N,sempat ajar giat ajar
"kegagalan dan kesalahan adalah kejadian yang tidak diinginkan oleh manusia, oleh karena itu pasti yang pertama adalah menyalahkan hal yang tidak sesuai namun dengan berjalan maka maka akan menjadikan itu sebagai pelajaran ",S,gagal salah jadi manusia salah sesuai jalan jadi ajar
saya melihat apa yang salah dari diri saya dan memulainya dari awal,S,salah mula
melihatnya sebagai kesempatan untuk belajar untuk meningkatkan keterampilan,N,sempat ajar tingkat terampil
Saya akan melihat hal tersebut sebagai kesempatan dan mempelajarinya untuk meningkatkan keterampilan,N,sempat ajar tingkat terampil
"Saya cenderung untuk mencari solusi, dan kegagalan hanyalah sebuah pembelajaran untuk belajar dalam meningkatkan keterampilan ",N,cenderung cari solusi gagal ajar ajar tingkat terampil
Cenderung melihatnya sebagai tumpuan untuk terus maju dan memperbaiki kesalahan agar tidak mengulanginya lagi.,N,cenderung tumpu maju baik salah ulang
mencari kesalahan dan memperbaiki kesalahan tersebut agar tidak gagal lagi ,S,cari salah baik salah gagal
melihatnya sebagai kesempatan untuk belajar untuk meningkatkan keterampilan,N,sempat ajar tingkat terampil
saya cenderung melihatnya sebagai kesempatan untuk belajar dan meningkatkan keterampilan,N,cenderung sempat ajar tingkat terampil
Saya cenderung mencari kesalahan dan menyalahkan hal yang tidak sesuai,S,cenderung cari salah salah sesuai
Terkadang saya mencoba untuk menyalahkan keadaan tetapi saya akan berpikir kembali dan menjadikan hal ini sebagai ruang bagi saya menerima kesalahan yang telah saya lakukan dan mencoba untuk introspeksi diri.,S,terkadang coba salah pikir jadi ruang terima salah laku coba introspeksi
Saya melihat kegagalan sebagai kesempatam untuk belajar untuk meningkatkan keterampilan ,N,gagal kesempatam ajar tingkat terampil
"saya cenderung mencari kesalahan dalam diri saya atau hal hal yang terjadi dengan salah di sekitar saya, sekaligus juga memikirikan solusi untuk menyelesaikan masalah atau kesalahan tersebut",S,cenderung cari salah salah memikirikan solusi selesai salah
cenderung menyalahkan dan tidak lama kemudian mencoba mencari lagi jawaban yang benar ,S,cenderung salah coba cari
"jika saya melihat kegagalan/kesalahan pertama tama mungkin saya di fase yang cenderung mencari kesalahan hal tsb, lalu saya mungkin akan melihat kesempatan itu juga untuk belajar dari kegagalan/kesalahan saya",S,gagal salah tama fase cenderung cari salah sempat ajar gagal salah
"Terkadang menyalahkan, tetapi tetap berusaha menjadikannya sebagai pelajaran",S,terkadang salah usaha jadi ajar
Awalnya pasti merenung dan lama² sama berpikir itu awal dari sebuah karier ,S,renung pikir karier
melihatnya sebagai kesempatan untuk belajar,N,sempat ajar
"Ya, dijadikan pelajaran selanjutnya agara tidak menimbulkan kesalahan/kegagalan lagi.",N,iya jadi ajar agara timbul salah gagal
"saya cenderung suka mencari kesalahan dan menyalahkan hal yang tidak sesuai, namun terkadang itu juga membuat saya untuk lebih meningkatkan keterampilan saya",S,cenderung suka cari salah salah sesuai terkadang tingkat terampil
setelah terjadi yang tidak sesuai yang diinginkan/diharapkan akan terlihat lah kegagalan itu,S,sesuai harap gagal
