Indikator,Tipe,preprocessed_text
mengambil alih (kalau memungkinkan) dan jelas menegurnya ,F,ambil alih tegur
Menegurnya,T,tegur
menegur nya dan mengambil alih tugas nya itu,F,tegur nya ambil alih tugas nya
menegurnya ,T,tegur
saya lebih sering mengambil alih tugasnya dan sedikit menegurnya,F,ambil alih tugas tegur
memarahi nya jika benar benar tidak kerja,T,parah nya kerja
"Menegurnya terlebuh dahulu, jika tidak memungkinkan maka saya akan mengambil alih tugasnya",F,tegur lebuh ambil alih tugas
saya akan menegurnya dan memberi dia tugas dengan deadline yang sudah saya tentukan,T,tegur tugas deadline tentu
saya lebih suka mengambil alih tugas nya karena saya sudah sangat malas menegur teman yang tidak ada inisiatif sendiri,F,suka ambil alih tugas nya malas tegur teman inisiatif
mengambil alih tugas nya lalu menegurnya karena jika begitu tugas tidak akan selesai alhasil tidak mendapatkan nilai,F,ambil alih tugas nya tegur tugas selesai alhasil nilai
menasehati saja,F,nasehat
Menegurnya,T,tegur
"Menegurnya dan mengingatkan nya 3 kali, apabil tidak dapat diingatkaj atau tak dapat memahami maka ambil alih",F,tegur nya kali apabil diingatkaj paham ambil alih
mengambil alih tugasnya ,F,ambil alih tugas
"Menegurnya dan mengingatkannya, serta berusaha membantunya",F,tegur ingat usaha bantu
Mengambil alih tugas nya,F,ambil alih tugas nya
Tentu saja saya akan menegurnya karena bagaimanapun setiap anggota telah memiliki setiap pekrjaan masing masing dan mau tidak mau harus menyelesaikannya. Apabila ia tiak menyelesaikan pekerjaan tersebut maka dengan terpaksa akan saya keluarkan dari kelompok kerja karena dirasa tidak bertanggung jawab dan tidak pantas menerima nilai,T,tegur anggota milik pekrjaan selesai tiak selesai kerja paksa keluar kelompok kerja rasa tanggung terima nilai
Menegur nya namun jika teman saya tidak berubah saya akan mengambil alih tugas itu,F,tegur nya teman ubah ambil alih tugas
Menegurkan nya sambil membantu mengerjakannya,F,tegur nya bantu kerja
menegurnya dan memberinya wanti-wanti serta menuntunnya agar dia dapat mengerjakan tugasnya. ,F,tegur beri wanti wanti tuntun tugas
Aku akan menegurnya dan menjelaskan konsekuensi apabila dia tidak mengerjakan tugasnya dalam kelompok tersebut ,T,tegur konsekuensi tugas kelompok
Saya akan menegurnya terlebih dahulu dan saya akan mengambil alih tugasnya tapi sebelum itu saya akan tanya ke dia kenapa ia lalai dengan tugasnya ,F,tegur ambil alih tugas lalai tugas
"menegurnya secara halus, dan jikalau saya bisa melakukan tugasnya saya akan membantunya sambil mengajarkan caranya",F,tegur halus tugas bantu ajar
Menegur tapi sekiranya tetap tidak bisa saya akan mengambil alih,F,tegur ambil alih
apabila teman tersebut teman dekat maka saya akan mengingatkanya dan jika tidak bisa maka saya ambil alih tugasnya dan saya biarkan tetapi apabila bukan teman dekat saya maka saya akan memperingatinya lalu mengambil alih tugasnya dan tidak menulis nama nya di dalam kerja kelompok tersebut,F,teman teman mengingatkanya ambil alih tugas biar teman ingat ambil alih tugas tulis nama nya kerja kelompok
"Menegurnya dengan tegas apabila masi sama, maka saya tidak mencantumkan nama anak tersebut ke dalam kelompok",T,tegur cantum nama anak kelompok
"Saya lebih ke menegurnya karena jika saya selalu mengambil alih tugasnya bukan hanya saya yang merasa lelah tetapi ia pun juga akan merasa rugi. Karena tugas kelompok akan sangat relate dengan kehidupan di masa depan , maka dari itu sejak dini perlu mempelajari bagaimana pengelolaan waktu, pembagian tugas, dan pergaulan dengan orang sekitar. ",T,tegur ambil alih tugas lelah rugi tugas kelompok relate hidup ajar kelola bagi tugas gaul orang
Menegurnya sambil mengambil alih tugasnya,F,tegur ambil alih tugas
"Saya akan mencoba menegurnya terlebih dahulu dan berkomunikasi dengan teman tersebut untuk memahami masalahnya. Jika masalahnya tidak terselesaikan, saya akan mencari solusi bersama dalam kelompok sebelum memutuskan untuk mengambil alih tugasnya.",F,coba tegur komunikasi teman paham selesai cari solusi kelompok putus ambil alih tugas
jujur aku tidak tau harus bagaimana tapi mungkin aku akan menegurnya,F,jujur tegur
Sebaiknya menegur tetapi dengan bahasa yang lembut dan memberi tahu tugasnya yang di berikan guru supaya temen yang ini mau bekerja dan mendapatkan nilai yang maksimal ,F,tegur bahasa lembut tugas guru temen nilai maksimal
"Negur dulu, jika dia tetap menyepelekan tugasnya, makan secara tegas saya ambil alih",F,negur sepele tugas makan ambil alih
"Menegurnya, jika tidak bisa laporkan ke Bapak/Ibu guru",T,tegur lapor guru
"Aku akan menegurnya, dan jika memungkinkan lebih baik aku mengambil alih tugasnya",F,tegur ambil alih tugas
menegurnya dengan halus lalu jika ia tetap tidak bisa maka saya akan ambil alih tugasnya agar cepat selesai,F,tegur halus ambil alih tugas cepat selesai
saya akan membiarkan nya namun diganti uang 💸💸💸 ,T,biar nya ganti uang
mungkin saya akan membiarkannya dan tidak peduli,T,biar peduli
menegurnya dan memberi nasehat,F,tegur nasehat
Menegurnya sekalu dan jika tidak dilaksanakan saya akan mengambil alih tugasnya serta tidak memasukkan nama anggota kelompok tersebut dan hanya memasukkan nama anggota kelompok yang aktif,T,tegur sekalu laksana ambil alih tugas masuk nama anggota kelompok masuk nama anggota kelompok aktif
"Menegurnya, dan menunjukkan ke teman saya bagaimana cara melakukan pekerjaannya, kalau tidak bisa, saya akan mengeluarkannya dari kelompok",T,tegur teman kerja keluar kelompok
"aku akan mengambil alih tugasnya, karena itu bisa menyelesaikan tugas kita lebih cepat dan tidak repot jika ia menolak teguranku.",F,ambil alih tugas selesai tugas cepat repot tolak tegur
menegurnya dengan cara yang baik dan sopan ,F,tegur sopan
"menegurnya, menanyakan kepada anak tsb "" apakah tugasmu terlalu berat ? "", jika anak tsb tidak bersungguh², maka saya akan mengeluarkannya dari kelompok.",T,tegur anak tugas berat anak sungguh keluar kelompok
saya lebih sering mengambil alih tugasnya agar cepat selesai,F,ambil alih tugas cepat selesai
Saya akan menegurnya dan terus memperhatikannya agar tidak mengulangi kesalahannya lagi,T,tegur perhati ulang salah
Saya akan mencoba untuk menegurnya terlebih dahulu tetapi jika hal tersebut tetap terjadi maka saya akan mengeluarkannya dari kelompok.,T,coba tegur keluar kelompok
Saya akan menegurnya jika tidak dihiraukan saya akan mengambil alih tugasnya,T,tegur hirau ambil alih tugas
saya cenderung mengambil alih tugas dari teman saya yang pasif apabila tugas kerja sesuai dengan kemampuan dan sebisa saya,F,cenderung ambil alih tugas teman pasif tugas kerja sesuai mampu bisa
"saya akan mengambil alih tugasnya karena jika saya menegurnya itu akan membuang-buang waktu, karena tidak semua orang akan sama jika ditegur akan segera mengerjakan tugasnya",T,ambil alih tugas tegur buang buang orang tegur tugas
saya akan menegurny dengan baik2,F,menegurny
Menegurnya,T,tegur
"Ya, saya akan menegurnya",T,iya tegur
membantunya ketika ada tugas yang susah,F,bantu tugas susah
"Menegurnya, karena itu sudah menjadi tugasnya dan dia harus bertanggung jawab atas tugasnya tersebut",T,tegur tugas tanggung tugas
"menegurnya, karena menurut saya itu tugas kelompok yang dimana harus dikerjakan dengan kelompok, tidak individu. Jadi saya akan menegurnya ",F,tegur tugas kelompok mana kelompok individu tegur
menegurnya dan memberikan tugas lain yang sekiranya dia mampu mengerjakan nya,F,tegur tugas nya
Menegurnya dan menyuruhnya untuk mengerjakan supaya dapat nilai yang bagus,T,tegur suruh nilai bagus
