Indikator,Tipe,preprocessed_text
saya lebih fleksibel namun saya tetap meminta kepastian terhadap kegiatan tersebut ,P,fleksibel pasti giat
biasanya saya akan merencanakan nya,J,rencana nya
"kalau buat jadwal tersusun rapi, tapi kalo dilaksanainnya fleksibel",P,jadwal susun rapi dilaksanainnya fleksibel
Membuat jadwal yang tersusun rapi,J,jadwal susun rapi
Fleksibel bergantung pada situasi,P,fleksibel gantung situasi
fleksibel bergantung situasi,P,fleksibel gantung situasi
Lebih fleksibel bergantung pada situasi,P,fleksibel gantung situasi
Bergantung pada situasi,P,gantung situasi
"Saya lebih fleksibel dan bergantung dalam situasi namun dalam 1 hari tersebut ada beberapa tugas terarah yang saya kerjakan ketika menjalani hari contohnya menggambar 1 sketsa sehari, belajar 20 huruf kanji, dan belajar 40 kotoba, bermain game 30 menit dll. Tidak terurut tidak masalah asalkan dapat memenuhinya dalam satu hari",P,fleksibel gantung situasi tugas arah kerja jalan contoh gambar sketsa hari ajar huruf kanji ajar kotoba main game menit dll urut penuh
Bergantung pada situasi ,P,gantung situasi
Lebih fleksibel,P,fleksibel
"bergantung situasi, aku engga terlalu suka menjadwal kegiatan karena sering berbeda dengan rencana yang sudah disusun. ",P,gantung situasi engga suka jadwal giat beda rencana susun
"Hanya beberapa saat saja membuat jadwal, lebih sering bergantung pada situasi ketika moody",P,jadwal gantung situasi moody
Saya lebih fleksibel bergantung pada situasi ,P,fleksibel gantung situasi
terkadang merencanakannya terlebih dahulu akan tetapi kadang terdistract situasi,J,terkadang rencana kadang terdistract situasi
Fleksibel,P,fleksibel
saya fleksibel tetapi sudah memiliki gambar secara garis besar apa saja yang akan saya lakukan hari ini,P,fleksibel milik gambar garis laku
Membuat jadwal yang tersusun rapi ,J,jadwal susun rapi
"Untuk hari Senin-Jumat biasanya saya lebih membuat jadwal yang tersusun rapi , namun jika weekend biasanya saya tergantung pada keinginan diri saya. ",J,senin jumat jadwal susun rapi weekend gantung
Bergantung pada situasi,P,gantung situasi
"Saya cenderung membuat jadwal yang tersusun rapi untuk kegiatan sehari-hari, tetapi juga memperhatikan fleksibilitas untuk menyesuaikan dengan situasi yang mungkin berubah.",J,cenderung jadwal susun rapi giat hari perhati fleksibilitas sesuai situasi ubah
kalau akuu lebih cenderung fleksibel hehe,P,akuu cenderung fleksibel hehe
Lebih fleksibel bergantung pada situasi karena jika telah membuat jadwal sewaktu-waktu ada jadwal yang berubah dan ada yang tidak di laksanakan maka harus mengubah jadwal tersebut dan menjadi lebih rumit lagi,P,fleksibel gantung situasi jadwal jadwal ubah laksana ubah jadwal rumit
"Campuran mas, awalnya terjadwal, tapi kalau ada sesuatu ditengah jalan ya mau ngga mau jadi fleksibel, kayak Kredivo, ""se-fleksibel itu""",P,campur mas jadwal tengah jalan iya fleksibel kredivo fleksibel
Bergantung pada situasi terkadang jika ada waktu akan membuat jadwal.,P,gantung situasi terkadang jadwal
Aku menjalaninya dengan fleksibel ,P,jalan fleksibel
terkadang membuat jadwal dan terkadang bergantung pada situasi,P,terkadang jadwal terkadang gantung situasi
"hidup tiada tau kita hanyalah manusia yang tidak sempurna, kita tidak tau yang terjadi kedepannya, hanya tuhan tau, maka dari itu kita sebagai manusia bergantung pada situasi namun jika sempat maka jadwalkan apa yang di lakukan kedepannya ",J,hidup tiada manusia sempurna depan tuhan manusia gantung situasi jadwal laku depan
fleksibel tergantung situasi,P,fleksibel gantung situasi
"fleksibel, bergantung pada situasi",P,fleksibel gantung situasi
"Saya akan menjadi fleksibel bergantung pada situasi, namun tidak dengan beberapa kegiatan yang menjadi prioritas saya hal itu akan saya masukkan ke jadwal saya dan tidak dapat dirubah ",P,fleksibel gantung situasi giat prioritas masuk jadwal rubah
Membuat jadwal yang fleksibel dengan semua kegiatan memiliki porsinya masing masing,J,jadwal fleksibel giat milik porsi
"tersusun rapi tetapi tidak harus diikuti, jadi jika jadwal tersebut tidak bisa tepat waktu, maka aku harus melompatinya dan mengerjakan jadwal setelahnya.",J,susun rapi ikut jadwal lompat jadwal telah
membuat jadwal yang tersusun ,J,jadwal susun
bergantung pada situasi,P,gantung situasi
cenderung fleksibel bergantung pada situasi,P,cenderung fleksibel gantung situasi
Saya lebih suka lebih fleksibel bergantung pada situasi. Tetapi terkadang saya juga butuh jadwal agar semua tersusun dan berjalan lancar,P,suka fleksibel gantung situasi terkadang butuh jadwal susun jalan lancar
Sejujurnya saya masih belum dapat membuat jadwal yang efektif bagi keseharian saya,P,jujur jadwal efektif hari
Saya cenderung membuat jadwal ,J,cenderung jadwal
fleksibel dan bergantung pada situasi,P,fleksibel gantung situasi
lebih fleksibel tergantung situasi ,P,fleksibel gantung situasi
tergantung situasi,P,gantung situasi
Fleksibel,P,fleksibel
Membuat jadwal yang rapi,J,jadwal rapi
tersusun rapi,J,susun rapi
Terjadwal agar tidak berantakan semua kegiatan sehari-hari kita,J,jadwal beranta giat hari
"saya lebih fleksibel bergantung pada situasi kecuali saat ada acara yang memang penting, maka saya akan membuat jadwal yang rapi",P,fleksibel gantung situasi kecuali acara jadwal rapi
"membuat jadwal terlebih dahulu, jika ada sesuatu yang mendadak maka akan bergantung pada situasi pada saat itu",J,jadwal dadak gantung situasi
Dua duanya juga sih karna kita gatau apa yang terjadi di depan kita nanti,J,dua sih gatau
