Indikator,Tipe,preprocessed_text
saya lebih memilih jadwal itu ketika jam pelajaran berlangsung,P,pilih jadwal jam ajar
di luar jam,J,jam
Jam pelajaran ,P,jam ajar
di luar jam pelajaran ,J,jam ajar
saya lebih nyaman saat di luar jam pelajaran agar tidak menggangu jam pelajar saya ,J,nyaman jam ajar menggangu jam ajar
di luar jam pelajaran,J,jam ajar
DI LUAR JAM PELAJARAN LAAHHHHH kalau ketinggalan mapel gmn,J,jam ajar laahhhhh tinggal mapel
Jam di luar pelajaran,J,jam ajar
Diluar jam pelajaran ,J,luar jam ajar
di luar jam pelajaran ,J,jam ajar
Di luar jam pelajaran,J,jam ajar
Di luar jam pelajaran,J,jam ajar
Saya akan lebih nyaman diluar jam pelajaran karena saya sulit untuk meninggalkan materi pelajaran.,J,nyaman luar jam ajar sulit tinggal materi ajar
Saat pelajaran berlangsung,P,ajar
Saya memilih di luar jam pelajaran,J,pilih jam ajar
luar jam pelajaran karena biar engga mengganggu aku belajar.,J,jam ajar biar engga ganggu ajar
Aku akan memilih di luar jam pelajaran agar tidak tertinggal materi sekolah ,J,pilih jam ajar tinggal materi sekolah
Saat jam pelajaran berlangsung ,P,jam ajar
Saya lebih nyaman untuk memilih jadwal di luar jam pelajaran,J,nyaman pilih jadwal jam ajar
Sama Sama nyaman,P,nyaman
di luar jam pelajaran,J,jam ajar
di luar jam pelajaran ,J,jam ajar
"Saya lebih nyaman untuk memilih di luar jam pelajaran, karena saya merasa bahwa meninggalkan pelajaran membuat saya rugi jika melewatkannya. ",J,nyaman pilih jam ajar tinggal ajar rugi lewat
Di luar jam pelajaran,J,jam ajar
Saya lebih nyaman memilih jadwal di luar jam pelajaran untuk kegiatan non-akademis.,J,nyaman pilih jadwal jam ajar giat non akademis
di luar jam pelajaran hehe,J,jam ajar hehe
Saya lebih memilih jadwal di luar pelajaran karena saya tidak menyukai jam pelajaran karena membuat ngantuk dan kepala menjadi pusing ,J,pilih jadwal ajar suka jam ajar ngantuk kepala pusing
"Diluar mas, sayang uang ortu saya buat bayar SPP mahal mahal, masa udah bayar mahal tapi malah dipakai kegiatan non akademik",J,luar mas sayang uang ortu bayar spp mahal mahal bayar mahal pakai giat non akademik
Saya akan memilih jadwal diluar jam pelajaran ,J,pilih jadwal luar jam ajar
Di luar jam pelajaran ,J,jam ajar
luar jam pelajaran,J,jam ajar
tergantung pelajarannya,P,gantung ajar
di luar jam pelajaran,J,jam ajar
diluar jam pelajaran,J,luar jam ajar
Saya lebih nyaman memilih jam tersebut di luar jam pelajaran berlangsung,J,nyaman pilih jam jam ajar
Di luar jam pelajaran,J,jam ajar
diluar jam pelajaran,J,luar jam ajar
memilih jadwal diluar jam pelajaran ,J,pilih jadwal luar jam ajar
jadwal di luar jam pelajaran,J,jadwal jam ajar
saya lebih nyaman untuk memilih jadwal di luar jam pelajaran agar tidak mengganggu proses belajar mengajar,J,nyaman pilih jadwal jam ajar ganggu proses ajar ajar
"Saya lebih memilih untuk melakukannya diluar jam pelajaran, tetapi jika kegiatan itu dilakukan di saat pelajaran yang saya tidak suka, saya setuju untuk melakukannya di jam pelajaran",J,pilih laku luar jam ajar giat ajar suka tuju laku jam ajar
"Tergantung pelajaran yang sedang berlangsung jika pembelajaran itu kurang terlalu saya minati maka saya memilih di saat jam pembelajaran berlangsung, tetapi jika saat pelajaran yang saya minati maka saya akan memilih di luar jam pembelajaran.",P,gantung ajar ajar minat pilih jam ajar ajar minat pilih jam ajar
Saya nyaman untuk memilih jadwal di luar jam pelajaran,J,nyaman pilih jadwal jam ajar
pada saat di luar jam pelajaran berlangsung ,J,jam ajar
lebih memilih jadwal di luar jam pelajaran karena jika dicampur pada saat jam pelajaran itu akan menggangu konsentrasi ,J,pilih jadwal jam ajar campur jam ajar menggangu konsentrasi
diluar jam mata pelajaran,J,luar jam mata ajar
Di luar jam pelajaran,J,jam ajar
Pada saat jam pelajaran ,P,jam ajar
saat pelajaran berlangsung,P,ajar
Di luar jam pelajaran agar tidak tertinggal materi dengan yang lain,J,jam ajar tinggal materi
memilih jadwal di luar jam pelajaran,J,pilih jadwal jam ajar
diluar jam pelajaran supaya tidak mengganggu pembelajaran berlangsung ,J,luar jam ajar ganggu ajar
Di luar jam.pelajaran lebih seru,J,jam ajar seru
