Indikator,Tipe,preprocessed_text
hanya beberapa orang terbentuk yang saya percaya mereka akan menghargai rencana yang akan saya lakukan. sering jika saya sangat mempercayai orang tersebut ,I,orang bentuk percaya harga rencana laku percaya orang
Tergantung Rencananya ,E,gantung rencana
"saya tidak pernah suka membagikan tujuan atau rencana yang saya inginkan kecuali apabila memang berkaitan dengan pekerjaan dan hal hal kecil lainya, apabila tujuan atau rencana yang akan saya capai itu besar, saya cenderung menyimpanya sendiri",I,suka bagi tuju rencana kecuali kait kerja lai tuju rencana capai cenderung menyimpanya
Saya keep rencana saya sampai rencana tersebut mencapai tujuan lalu saya ceritakan part bagaimana saya bisa sampai di titik itu tetapi hanya kepada orang yang saya anggap 'dekat' dengan saya,I,keep rencana rencana capai tuju cerita part titik orang anggap
"Untuk hal yang bersifat rencana atau tujuan ada kalanya saya harus keep dengan tidak menceritakannya ke orang lain , namun jika rencana itu hanya sekedar tujuan universitas dan lain sebagainya saya tidak merasa keberatan bila membagikan nya dengan orang lain. ",I,sifat rencana tuju kala keep cerita orang rencana dar tuju universitas berat bagi nya orang
"Jika saya memiliki sebuah rencana untuk masa depan saya, saya akan menyimpannya sendiri tanpa menunjukkan ke siapapun, saya akan menunjukkan hasilnya saja. Saya menunjukkan kepada keluarga dan teman² terdekat saya.",I,milik rencana simpan hasil keluarga teman dekat
Saya tidak suka membagikan sebuah tujuan/rencana kepada orang lain jika menurut saya tujuan/rencana tersebut tidak ada gunanya untuk orang lain kecuali diri saya sendiri,I,suka bagi tuju rencana orang tuju rencana guna orang kecuali
"hanya orang-orang tertentu, seperti pacar dan teman tapi tidak sering",I,orang orang pacar teman
Hanya orang terdekat saja yang saya membagikan rencana kedepannya kalau untuk di bagikan ke orang umum nanti akan menjadi bahan omongan jika rencana tersebut tidak di jalankan dan saya lebih banyak membagikan itu kepada diri sendiri dan jarang membagikan kepada orang lain ,I,orang dekat bagi rencana depan bagi orang bahan omong rencana jalan bagi jarang bagi orang
"Orang tertentu sih mas, biasanya yang saya percaya aja, karena kalau semua orang tahu, potensi rencana untuk gagal bisa tinggi karena pasti ada aja yang ngga suka dan iri, dan saya pribadi lebih suka keep sendiri sih, takut bikin orang lain berharap tinggi juga, malah ngecewain nantinya, jadi mending saya sendiri yang kecewa, orang lain jangan ",I,orang sih mas percaya orang potensi rencana gagal suka iri pribadi suka keep sih takut bikin orang harap ngecewain mending kecewa orang
Tidak suka membagikan rencana saya untuk orang lain.,I,suka bagi rencana orang
"Aku hanya akan membagikan kepada beberapa orang tertentu saja, dan itu sepertinya tidak sering kulakukan",I,bagi orang laku
"hanya kepada orang orang tertentu dan yang terdekat saja, sering hanya jika ingin bercerita",I,orang orang dekat cerita
"jika rencana saya bersifat umum maka akan membagikan ke publik namun dan jika rencana itu bersifat pribadi atau bisa dijadikan lahan keuntungan mungkin saya akan membagi kepada orang orang tertentu.

untuk sering atau tidak jawaban nya adalah tidak cukup 1x atau 3x",E,rencana sifat bagi publik rencana sifat pribadi jadi lahan untung bagi orang orang nya
biasanya saya hanya memperlihatkannya di sosmed ke teman dekat,E,lihat sosmed teman
"kepada orang orang tertentu, mungkin hanya beberapa kali",I,orang orang kali
Saya akan membagikan hal tersebut ke orang-orang tertentu saja dan pada momen tertentu saja,E,bagi orang orang momen
Lebih suka untuk menyimpannya sendirian karena tujuan/rencana memiliki proses yang hanya diketahui oleh diri sendiri,I,suka simpan tuju rencana milik proses
Aku tidak akan memberitahu siapapun jika itu mengandung masalah pribadi. Jika tentang masa depan aku akan mengonsultasikan dengan teman terdekat dan orang tua.,I,memberitahu kandung pribadi konsultasi teman dekat orang tua
"saya akan membagikan nya kepada orang orang tertentu saja,mungkin kalau ingat sering bercerita ",I,bagi nya orang orang cerita
"saya hanya membagikannya kepada keluarga saja, karena menurut saya, orang lain tidak perlu tahu tentang apa yang saya rencanakan.",I,bagi keluarga orang rencana
jika saya memiliki tujuan/rencana saya lebih sering menceritakan kepada teman” atau orang” terdekat saja,E,milik tuju rencana cerita teman orang dekat
"Ya saya akan membagikannya, tetapi jarang",E,iya bagi jarang
"Saya hanya membaginya kepada orang orang tertentu, setiap kali saya terpikirkan rencana atau tujuan tersebut maka daya akan membagikan ke teman yang saya percaya atau dekat dengan saya.",I,bagi orang orang kali pikir rencana tuju daya bagi teman percaya
Terkadang saya membagikan ke sosial media namun lebih sering kepada orang tertentu saja seperti sahabat dekat saya,E,terkadang bagi sosial media orang sahabat
saya bukan tipe orang yang suka membagikan tujuan atau rencana kepada orang lain terutama di media sosial,I,tipe orang suka bagi tuju rencana orang media sosial
"hanya orang-orang tertentu saja, saya tidak sering membagikannya karena jarang keluar dari rumah ",I,orang orang bagi jarang rumah
"jika saya mempunyai tujuan/rencana saya suka membagikan hal tersebut kepada orang orang tertentu, seperti sahabat saya/saudara saya. dan saya membagikan setiap saya mempunyai tujuan/rencana untuk kedepannya karena saya sangat sangat butuh support dan saran orang orang tertentu",I,tuju rencana suka bagi orang orang sahabat saudara bagi tuju rencana depan butuh support saran orang orang
Membagikan hal tersebut kepada publik. Sangat sering,E,bagi publik
Hanya kepada orang tertentu ,I,orang
"Menceritakan kepada orang-orang tertentu seperti orangtua, dan saudara. Sering kali saya bercrita dengan mereka dan meminta saran, motivasi pada mereka.",I,cerita orang orang orangtua saudara kali bercrita saran motivasi
"lebih suka membagikan hal kepada orang tertentu, namun saya tidak begitu sering membagikan rencana saya kepada orang lain kecuali rencana kecil-kecilan",I,suka bagi orang bagi rencana orang kecuali rencana kecil
lebih ke berbagi ke orang tertentu yang dekat saja,I,bagi orang
tidak suka membagikan ke publik lebih suka untuk berdiam ,I,suka bagi publik suka diam
