Indikator,Tipe,preprocessed_text
terkadang saya bisa langsung mempercayainya tetapi juga terkadang susah untuk mempercayai,S,terkadang langsung percaya terkadang susah percaya
saya akan mengalisa informasi dan menanyakan kepada orang yang bersangkutan jika memang ada hal nya dengan diri saya ,N,mengalisa informasi orang sangkut nya
memastikan informasi tersebut apakah benar atau tidak,S,informasi
"Untuk saya sendiri saya akan mencari data atau fakta pendukung dari informasi orang lain, meskipun orang terdekat saya.",N,cari data fakta dukung informasi orang orang dekat
Saya akan menyimpan itu di otak dangan baik baik,S,simpan otak dang
"Melihat kepastian apakah dia mulai ok buat diajak ngobrol atau tidak, kalau kita semena mena mengajak ngobrol menurutku itu tidak baik",S,pasti ok ajak ngobrol semena mena ajak ngobrol turut
"selagi teman dekat saya yang benar benar saya kenal, mungkin menerima informasi tidak logis pun tidak begitu buruk.",S,selagi teman kenal terima informasi logis buruk
"tergantung dengan informasi yang diberikan sama orang tersebut, tapi saya juga tidak langsung percaya dengan seseorang tersebut. ",N,gantung informasi orang langsung percaya
penasaran ,N,penasaran
mancari tau informasi itu dan memastikan informasi baru itu bahwa informasi itu benar,N,mancari informasi informasi informasi
mendengkarkan informasi tersebut,S,mendengkarkan informasi
Dengan mendengarkan apa yang disampaikan,S,dengar
berbicara dan saling tukar cerita,S,bicara tukar cerita
meringkas dan berpikir dengan cara saya sendiri,S,ringkas pikir
Dengan langsung menanyakannya,S,langsung tanya
menyaring informasi apakah real or fake,N,nyaring informasi real fake
Mereka memberItahu saya,S,memberitahu
"Saya mendengarkan dengan teliti, perkataan yang disampaikan olehnya,  walau pada kekurangannya saya cenderung mengalihkan tatapan mata darinya",S,dengar teliti kata kurang cenderung alih tatap mata dari
mendengarkan dengan baik,S,dengar
Mendengarkannya dengan seksama setiap perkataannya,S,dengar seksama kata
Dengan berkomunikasi,S,komunikasi
"Saya biasanya mendengarnya dan menganalisa perkataan orang tersebut, kemudian mencoba mengkaitkannya dengan informasi yang telah saya dapatkan sebelumnya.",S,dengar menganalisa kata orang coba kait informasi dapat
Sayaa akan menjadi pendengar yang baik,S,sayaa dengar
Jika ini hal penting ini akan saya ambil secara dalam.,S,ambil
"ya cukup tau aja, kecuali informasinya itu penting ya aku catatan di note hp.",S,iya kecuali informasi iya catat note hp
Aku akan mendengarkan saja ,S,dengar
Saya akan menggali informasinya secara detail dan terhindar dari adanya hoax. Seperti saya akan menanyakan informasi tersebut ,S,gali informasi detail hindar hoax informasi
terkadang saya loading,S,terkadang loading
Bercerita Dengannya,S,cerita dengan
saya hanya mendengarkan dan mencerna informasi yang baru saya dapat tetapi tidak langsung percaya terhadap hal tersebut dan biasanya saya mencocokan informasi yang baru saya dapat dengan pengetahuan atau informasi lainya yang saya punya,S,dengar cerna informasi langsung percaya cocok informasi tahu informasi lai
Dengan menghargai pendapat seseorang tersebut dan menerima informasi tersebut jika memang berdampak positif untuk saya,S,harga dapat terima informasi dampak positif
Biasa saya langsung tanya ke orang tersebut dan untung nya orang tersebut langsung menjelaskan kepada saya. ,S,langsung orang untung nya orang langsung
Mengajukkan beberapa pertanyaan yang tidak menyinggung,S,ajuk singgung
Saya akan mendengarkan dengan penuh perhatian saat mereka berbicara dan bertanya lebih lanjut jika diperlukan untuk mendapatkan informasi lebih lanjut.,S,dengar penuh perhati bicara informasi
membayangkan ,N,bayang
Mencari tau informasi tersebut apakah informasi tersebut sudah benar atau tidak dan jangan percaya dengan informasi tersebut ,N,cari informasi informasi percaya informasi
"Yang pasti ngga pakai tangan sih mas, hehe

Becanda mas, saya kalau nangkep info biasanya saya cek berulangkali serta memastikan keabsahannya, takutnya scam, jadi dari diri saya sendiri saya berusaha seteliti mungkin mencerna informasi tersebut",S,pakai tangan sih mas hehe becanda mas nangkep info cek berulangkali absah takut scam usaha teliti cerna informasi
Cara menangkapnya dengan cara mendengarkannya dan menganalisis informasi tersebut,S,tangkap dengar analis informasi
Dia menceritakannya,S,cerita
mendengarkan lalu memahami maksudnya apa,S,dengar paham maksud
saya akan menanyakan nya/ saya akan meminta kejadian yang lebih detail ,S,nya jadi detail
"jika informasi itu menarik bagi saya, saya akan bersemangat dengan informasi tersebut",S,informasi tarik semangat informasi
dengan mendengarkan secara langsung,S,dengar langsung
Dengan mengajaknya berinteraksi dan bercerita bersama karena secara psikologi manusia cenderung mudah terbawa suasana jika topik yang mereka bicarakan dapat membuat mereka tertarik dan secara tidak langsung mereka akan memberikan informasi yang baru,S,ajak interaksi cerita psikologi manusia cenderung mudah bawa suasana topik bicara tarik langsung informasi
Menanyakan dan menggunakan seni dalam menarik lawan bicara agar informasi yang diperoleh lebih banyak,S,seni tarik lawan bicara informasi oleh
"Aku lebih suka mendengar daripada berkomentar, jadi mungkin mereka menganggap ku membosankan ",S,suka dengar komentar anggap ku bosan
dengan cara mendengarkan orang yang memberi informasi tersebut ,S,dengar orang informasi
"dengan mendengarkan apa yang dibicarakannya, dengan menangkap poin poin intinya saja. atau pokok pembicaraan topik tsb.",S,dengar bicara tangkap poin poin inti pokok bicara topik
menanggapinya dengan positif ,S,tanggap positif
Menanyakannya secara langsung atau menunggu dia sendiri yang memberikannya. Tergantung kondisi,S,tanya langsung tunggu beri gantung kondisi
Saya suka mengolah informasi tersebut dengan cara mengimajinasi atau membayangkannya,N,suka olah informasi imajinasi bayang
Mengajak mereka untuk bercerita tentang keadaanya dan mendengarkan cerita yang mereka bagikan ,S,ajak cerita keadaanya dengar cerita bagi
saya akan mendengarkan orang tersebut berbicara untuk memahami apa yang ia katakan pada saya,S,dengar orang bicara paham
"mendengarkan dengan seksama, jika informasi itu rahasia maka saya akan menyimpan informasi tersebut untuk diri sendiri ",S,dengar seksama informasi rahasia simpan informasi
Mendengarkan dengan baik,S,dengar
Mendengarkan dan mengingat² Informasi tersebut dan jika ada informasi penting saya tidak akan membocorkannya ,S,dengar informasi informasi bocor
dengan cara memahami dan mendengarkan orang berbicara,S,paham dengar orang bicara
Dengan mencari info akurat apakah info itu benar/tidak agar tidak terjadi kesalahpahaman.,N,cari info akurat info kesalahpahaman
biasanya saya langsung diberitahu atau saya yang menanyakan kepada orang tersebut,S,langsung diberitahu orang
"mendekatkan diri seolah-olah kita akrab, dan mencari informasi dari teman atau sosmed",S,dekat olah akrab cari informasi teman sosmed
melihat dia berbicara seperti apa dan kelakuannya,S,bicara laku
