Indikator,Tipe
Lebih fleksibel bergantung pada situasi,P
Bergantung pada situasi,P
"Saya lebih fleksibel dan bergantung dalam situasi namun dalam 1 hari tersebut ada beberapa tugas terarah yang saya kerjakan ketika menjalani hari contohnya menggambar 1 sketsa sehari, belajar 20 huruf kanji, dan belajar 40 kotoba, bermain game 30 menit dll. Tidak terurut tidak masalah asalkan dapat memenuhinya dalam satu hari",P
Bergantung pada situasi ,P
Lebih fleksibel,P
"bergantung situasi, aku engga terlalu suka menjadwal kegiatan karena sering berbeda dengan rencana yang sudah disusun. ",P
"Hanya beberapa saat saja membuat jadwal, lebih sering bergantung pada situasi ketika moody",P
Saya lebih fleksibel bergantung pada situasi ,P
terkadang merencanakannya terlebih dahulu akan tetapi kadang terdistract situasi,J
Fleksibel,P
saya fleksibel tetapi sudah memiliki gambar secara garis besar apa saja yang akan saya lakukan hari ini,P
Membuat jadwal yang tersusun rapi ,J
"Untuk hari Senin-Jumat biasanya saya lebih membuat jadwal yang tersusun rapi , namun jika weekend biasanya saya tergantung pada keinginan diri saya. ",J
Bergantung pada situasi,P
"Saya cenderung membuat jadwal yang tersusun rapi untuk kegiatan sehari-hari, tetapi juga memperhatikan fleksibilitas untuk menyesuaikan dengan situasi yang mungkin berubah.",J
kalau akuu lebih cenderung fleksibel hehe,P
Lebih fleksibel bergantung pada situasi karena jika telah membuat jadwal sewaktu-waktu ada jadwal yang berubah dan ada yang tidak di laksanakan maka harus mengubah jadwal tersebut dan menjadi lebih rumit lagi,P
"Campuran mas, awalnya terjadwal, tapi kalau ada sesuatu ditengah jalan ya mau ngga mau jadi fleksibel, kayak Kredivo, ""se-fleksibel itu""",P
Bergantung pada situasi terkadang jika ada waktu akan membuat jadwal.,P
Aku menjalaninya dengan fleksibel ,P
terkadang membuat jadwal dan terkadang bergantung pada situasi,P
"hidup tiada tau kita hanyalah manusia yang tidak sempurna, kita tidak tau yang terjadi kedepannya, hanya tuhan tau, maka dari itu kita sebagai manusia bergantung pada situasi namun jika sempat maka jadwalkan apa yang di lakukan kedepannya ",J
fleksibel tergantung situasi,P
"fleksibel, bergantung pada situasi",P
"Saya akan menjadi fleksibel bergantung pada situasi, namun tidak dengan beberapa kegiatan yang menjadi prioritas saya hal itu akan saya masukkan ke jadwal saya dan tidak dapat dirubah ",P
Membuat jadwal yang fleksibel dengan semua kegiatan memiliki porsinya masing masing,J
"tersusun rapi tetapi tidak harus diikuti, jadi jika jadwal tersebut tidak bisa tepat waktu, maka aku harus melompatinya dan mengerjakan jadwal setelahnya.",J
membuat jadwal yang tersusun ,J
bergantung pada situasi,P
cenderung fleksibel bergantung pada situasi,P
Saya lebih suka lebih fleksibel bergantung pada situasi. Tetapi terkadang saya juga butuh jadwal agar semua tersusun dan berjalan lancar,P
Sejujurnya saya masih belum dapat membuat jadwal yang efektif bagi keseharian saya,P
Saya cenderung membuat jadwal ,J
fleksibel dan bergantung pada situasi,P
lebih fleksibel tergantung situasi ,P
tergantung situasi,P
Fleksibel,P
Membuat jadwal yang rapi,J
tersusun rapi,J
Terjadwal agar tidak berantakan semua kegiatan sehari-hari kita,J
"saya lebih fleksibel bergantung pada situasi kecuali saat ada acara yang memang penting, maka saya akan membuat jadwal yang rapi",P
"membuat jadwal terlebih dahulu, jika ada sesuatu yang mendadak maka akan bergantung pada situasi pada saat itu",J
Dua duanya juga sih karna kita gatau apa yang terjadi di depan kita nanti,J
"sebelum memilih hal tersebut saya melihat terlebih dahulu jadwal pembelajaran yang akan dilakukan pada hari itu, jika terdapat pelajaran yang saya tidak sukai mungkin akan lebih memilih jam pelajaran yang sedang berlangsung. Namun jika pada hari tersebut terdapat jadwal yang saya sukai mungkin lebih memilih jadwal di luar jam pelajaran",P
saat jam pelajaran berlangsung,P
Jadwal di luar jam pelajaran karena saya ga mau ketinggalan materi pelajaran.,J
Lebih keluar pelajaran,P
jadwal di luar jam pelajaran ,J
tentunya diluar pelajaran,J
luar jam pelajaran,J
Saya lebih nyaman di luar jam pelajaran karna pada dasarnya pelajar juga butuh materi dasar akademik untuk mengikuti kegiatan non akademik ,J
Diluar jam pelajaran,J
Saya lebih nyaman untuk jadwal di luar jam pelajaran agar tidak tertinggal materi.,J
Di luar jam pelajaran agar tidak terdistraksi oleh waktu,J
luar jam pelajaran ,J
"Saya lebih nyaman memilih jadwal diluar jam pelajaran, karena saya tidak ingin tertinggal dengan pelajaran yang sedang berlangsung.",J
Saya akan memilih diluar pelajaran agar akademik Saya tidak terganggu dan saya dapat melakukan kedua hal tersebut dengan efektif,J
Pada saat jam pelajaran berlangsung ,P
Pada saat jam pelajaran berlangsung ,J
kalau saya tergantung kegiatannya apa dulu kalau memang penting dan diharuskan untuk mengikuti mungkin bisa saat jam pelajaran tapi kalau sebaliknya ya diluar jam pelajaran ,P
Saya lebih suka melakukannya diluar jam pembelajaran ,J
Memilih jadwal di luar jam pelajaran,J
di luar jam pelajaran,J
Di luar jam pelajaran agar tidak mengganggu aktivitas saat pelajaran berlangsung karena semua ada porsinya,J
diluar jam pelajaran,J
"di luar jam pelajaran, saat bersama teman"" saya",J
Saya akan memilih di luar jam pelajaran karena di pelajaran tersebut saya akan mendapatkan ilmu baru dan mengetahui tugas apa yang diberikan,J
diluar jam pelajaran ,J
"saat jam pelajaran berlangsung, karena saya tidak menyukai kegiatan akademis",P
"Saya lebih nyaman memilih pada saat jam pelajaran berlangsung, karena saya terkadang bosan akan pelajaran",P
di luar jam pelajaran ,J
Luar jam perlajaran,J
diluar jam pelajaran karena itu akan membuat saya lebih konsentrasi ,J
Pada saat di luar jam pelajaran,J
diluar jam pelajaran ,J
Saya akan lebih nyaman pada saat diluar pelajaran karena akan lebih nyaman,J
jam diluar pelajaran,J
diluar jam pelajaran. menurut saya sekolah lebih penting. ,J
Saya akan memilih jadwal di luar jam pelajaran ,J
pada saat jam pelajaran berlangsung,P
"lebih nyaman diluar jam pelajaran, karena saat jam pelajaran terasa sangat sangat membosankan",J
sebaiknya dibagii menjadi dua katagori dii luar jam pelajaran dan saat pelajaran agar siswa siswi tida merasakan bosan ,P
memilih jam diluar jam pelajaran,J
saya lebih memilih jadwal di luar jam pelajaran ,J
Saya lebih nyaman untuk memilih jadwal di luar jam pelajaran berlangsung soalnya menurut saya jika kegiatan non akademis dilakukan saat jam pelajaran berlangsung maka akan memotong materi belajar saya dan teman-teman saya yang lain.,J
Lebih nyaman diluat jam mungkin ini membuat saya senang,J
"jelas diluar pelajaran, karena jam pelajaran sangat penting ",J
Luar jam pelajaran,J
pada saat jam pelajaran berlangsung ,P
pada saat jam pelajaran ,P
saya lebih memilih jadwal itu ketika jam pelajaran berlangsung,P
di luar jam,J
Jam pelajaran ,P
di luar jam pelajaran ,J
saya lebih nyaman saat di luar jam pelajaran agar tidak menggangu jam pelajar saya ,J
di luar jam pelajaran,J
DI LUAR JAM PELAJARAN LAAHHHHH kalau ketinggalan mapel gmn,J
Jam di luar pelajaran,J
Diluar jam pelajaran ,J
di luar jam pelajaran ,J
Di luar jam pelajaran,J
Di luar jam pelajaran,J
Saya akan lebih nyaman diluar jam pelajaran karena saya sulit untuk meninggalkan materi pelajaran.,J
Saat pelajaran berlangsung,P
Saya memilih di luar jam pelajaran,J
luar jam pelajaran karena biar engga mengganggu aku belajar.,J
Aku akan memilih di luar jam pelajaran agar tidak tertinggal materi sekolah ,J
Saat jam pelajaran berlangsung ,P
Saya lebih nyaman untuk memilih jadwal di luar jam pelajaran,J
Sama Sama nyaman,P
di luar jam pelajaran,J
di luar jam pelajaran ,J
"Saya lebih nyaman untuk memilih di luar jam pelajaran, karena saya merasa bahwa meninggalkan pelajaran membuat saya rugi jika melewatkannya. ",J
Di luar jam pelajaran,J
Saya lebih nyaman memilih jadwal di luar jam pelajaran untuk kegiatan non-akademis.,J
di luar jam pelajaran hehe,J
Saya lebih memilih jadwal di luar pelajaran karena saya tidak menyukai jam pelajaran karena membuat ngantuk dan kepala menjadi pusing ,J
"Diluar mas, sayang uang ortu saya buat bayar SPP mahal mahal, masa udah bayar mahal tapi malah dipakai kegiatan non akademik",J
Saya akan memilih jadwal diluar jam pelajaran ,J
Di luar jam pelajaran ,J
luar jam pelajaran,J
tergantung pelajarannya,P
di luar jam pelajaran,J
diluar jam pelajaran,J
Saya lebih nyaman memilih jam tersebut di luar jam pelajaran berlangsung,J
Di luar jam pelajaran,J
diluar jam pelajaran,J
memilih jadwal diluar jam pelajaran ,J
jadwal di luar jam pelajaran,J
saya lebih nyaman untuk memilih jadwal di luar jam pelajaran agar tidak mengganggu proses belajar mengajar,J
"Saya lebih memilih untuk melakukannya diluar jam pelajaran, tetapi jika kegiatan itu dilakukan di saat pelajaran yang saya tidak suka, saya setuju untuk melakukannya di jam pelajaran",J
"Tergantung pelajaran yang sedang berlangsung jika pembelajaran itu kurang terlalu saya minati maka saya memilih di saat jam pembelajaran berlangsung, tetapi jika saat pelajaran yang saya minati maka saya akan memilih di luar jam pembelajaran.",P
Saya nyaman untuk memilih jadwal di luar jam pelajaran,J
pada saat di luar jam pelajaran berlangsung ,J
lebih memilih jadwal di luar jam pelajaran karena jika dicampur pada saat jam pelajaran itu akan menggangu konsentrasi ,J
diluar jam mata pelajaran,J
Di luar jam pelajaran,J
Pada saat jam pelajaran ,P
saat pelajaran berlangsung,P
Di luar jam pelajaran agar tidak tertinggal materi dengan yang lain,J
memilih jadwal di luar jam pelajaran,J
diluar jam pelajaran supaya tidak mengganggu pembelajaran berlangsung ,J
Di luar jam.pelajaran lebih seru,J
"saya akan mengerjakan PR terlebih dahulu lalu jika terdapat waktu senggang saya akan bertemu dengan teman lama, karena PR merupakan tanggung jawab yang harus diselesaikan di rumah dan jika PR tersebut selesai maka kita akan mendapat waktu senggang dan tidak kepikiran terhadap PR yang harus diselesaikan ",J
menolak karena ada pr yang harus diselesaikan,J
Saya tentunya akan menolak ajakan temen saya. Dengan alasan saya lebih mengutamakan prioritas yang lebih terdesak terlebih dahulu. Sedangkan untuk bertemu dengan temen lama saya bisa dilakukan di besok harinya.,J
Tugas kan penting apalagi skrang saya kelas 12 mau ke jenjang kuliah lebih baik ga ikut dulu karna reuni tidak se penting itu,J
memberi pengertian jika masih ada tugas yang belum selesai dan bernegoisasi untuk bertemu esok hari,J
"Saya akan menolaknya, karena tugas yang diberi sudah mepet deadline dan bermain bisa dilakukan kapanpun",J
"Tidak menerima ajakan, karena sudah terdapat tanggung jawab yang harus diselesaikan sedangkan bertemu teman masih bisa lain kali",J
"Saya akan menolaknya dengan halus,karna saya sudah memiliki tanggung jawab sebagai Pelajar untuk mengerjakan tugas tersebut. lagi pula bermain kan bisa kapan saja",J
Menyempatkan bertemu dan mengerjakan pr sebelum/sesudah bertemu,P
"Dengan menolaknya secara halus, mengajaknya untuk bertemu besok atau lusa. Karena PR tidak bisa di tunda.",J
"saya akan menolak ajakan tsb, karena saya memang ingin fokus dengan pelajaran",J
Menolaknya karena ada tugas yang harus saya selesaikan malam ini,J
"Ini merupakan masalah yang sulit. Mungkin saya akan memikirkannya terlebih dahulu, baru setelah itu saya putuskan dan jikalau terpaksa saya siap menerima konsekuensi yang ada",P
menolaknya dengan halus karena pr lebih penting buat seorang pelajar,J
"Menurut saya, saya akan mengerjakan PR tersebut pada saat itu juga. Karena saya ingin menghargai teman saya yang ingin mengobrol dengan saya, siapa tau ia benar benar membutuhkan sosok untuk dijadikan tempat berkeluh kesah.",J
"Jika hal tersebut mendesak atau penting saya akan ikut dengan teman teman dan menyelesaikan tugas setelah selesai, namun apabila hanya bermain saya akan menolak. Alasan saya melakukan hal tersebut agar dapat menjaga keseimbangan antara kewajiban saya dan hubungan dengan teman saya ",P
Saya akan bermain terlebih dahulu untuk 15-30 menit lalu saya akan menggiring topik mengenai pr yang harus dibawa besok dan mengajak teman saya untuk mengerjakan pr bersama sama,P
Saya akan meminta maaf kepadanya bahwasanya saya memiliki tugas sekolah yang harus diselesaikan. Dan akan menerima ajakannya di lain waktu ,J
"Menyikapi dengan menolaknya. Karena waktu adalah kesempatan berharga yang tidak banyak orang memilikinya. Selagi ada waktu pergunakan sebaik mungkin karena kita tidak tahu dampak di akhirnya bagaimana. Setelah menolaknya mungkin bisa mengatakan bahwa bermain bisa dilakukan saat kita mengerjakan tugas bersama-sama. Karena bermain bukan hanya soal menyenangkan tetapi bermain dengan hal yang positif seperti mengerjakan PR bersama"".",J
"menerima, krna belum tentu besok dia masih dekat dengan saya",P
Menyelesaikan pr tersebut dan mencoba mengajak teman lama untuk bertemu di lain hari,J
mengerjakan terlebih dahulu,J
"menolaknya dan memberi tahu bahwa saya sedang ada tugas, jika dirasa tugas saya sedikit dan mampu diselesaikan dalam waktu singkat maka selesai mengerjakan saya akan memberi tahu dia kita bisa keluar malam ini",J
"saya akan menjawab bahwa saya sibuk dan sedang banyak tugas untuk besoknya, alasannya : bermain masih bisa dilakukan besok hari, kalau tugas telat saya tidak mau karena saya juga butuh nilai, sekolah lebih penting",J
"menyetujuinya tetapi menunggu pr saya selesai tapi kadang ga jadi soalnya capek, atau ngajak mereka ngerjakan pr saya juga gapapa hehe",P
Saya akan berusaha untuk mengerjakan tugas tersebut dengan cepat agar dapat bertemu dengan teman lama jika tidak bisa meminta izin untuk mengganti di lain hari,J
saya akam menemui teman saya dan membawa tugas saya dan saya akan mengerjakan disana karena tugas lebih utama,P
"mungkin saya akan mengiyakan, namun saya menyelesaikan tugas saya terlebih dahulu/perginya cm sebentar ",P
"tergantung pada mood saya. Jika mood saya untuk mengerjakan tugas lagi down, saya akan menerima tawarannya untuk bertemu tetapi saya akan tetap mengerjakan tugas selagi bertemu. Jika mood saya lagi baik saya akan menolak tawarannya dan lebih fokus untuk menyelesaikan tugas di rumah",P
"Saya akan menolaknya terlebih dahulu, karena pr lebih saya utamakan agar nilai saya dapat terjamin baik. Saya akan menerimanya ketika pr sudah selesai lebih cepat atau keesokan harinya",J
saya akan menolaknya dengan menjelaskan alasan saya menolaknya. karena pr merupakan kewajiban yang harus dikerjakan ,J
"Saya akan menolaknya secara halus, selain karena saya harus mengerjakan tugas, saya juga membatasi diri untuk tidak keluar kecuali besoknya adalah hari libur",J
menyelesaikan pr lalu menyusul acara,J
"Saya akan menolak ajakan mereka, karena tugas atau pr yang diberikan itu lebih penting karena terdapat nilainya daripada ajakan bermain",J
tetap mengerjakan pr ,J
Gak datang reuni. karna saya lebih senang melakukan pekerjaan yang penting dibanding hanya sekedar bersenang senang. ,J
"Cara menyikapinya, ""maaf teman aku gak bisa ikut nongkrong dulu, dikarenakan ada tugas mendadak yang harus dikerjakan sekarang",J
"menolak dg baik 
dan memberi alasan jika beso ada tugas yang harus di kumpulkan",J
"saya menolaknya, karena bermain bisa diadakan lain hari. tetapi tugas tidak bisa",J
jika memang teman lama tersebut berjarak jauh dengan kita atau sibuk kita meluangkan waktu sebentar sekedar bertemu agar meluangkan rasa kangen dan jika bisa membagi waktu setelah pulang mengerjakannyaa atau bertemu dan mengerjakannyaa,P
menjelaskan dengan baik baik kepada teman agar menunda bertemu dan mencari hari yang tepat untuk bertemu ,J
"saya akan bicarakan baik baik, mungkin untuk bertemu dengan teman lama bisa lain hari ",J
"Jika mengajak bertemu, saya rasa saya akan menolaknya secara halus karena saya punya kepentingan pribadi yang harus saya prioritaskan. Namun jika memang ia ingin curhat mungkin bisa dilakukan melalui telepon saja",J
Saya akan mengerjakan pr tersebut dulu dan akan bertemu teman lama,J
Menyikapi dengan menolak dengan lembut alasanya pribadi saya sendiri saya tidak pernah keluar bersama teman walaupun sudah dibangku SMA,J
Menyelesaikannya lalu bermain,J
menolak nya dengan cara yang baik' seperti memberi tau kepada dia (pap) bahwa saya banyak sekali pr ,J
menyelesaikan terlebih dahulu tugasnya ,J
saya mencoba mencari alasan yang tepat untuk menolaknya karena itu berkaitan dengan PR yang harus diselesaikan malam ini tapi jika masih ada waktu saya akan datang meski tidak tepat seperti waktu yang ditentukan,J
saya akan mengerjakan terlebih dahulu setelah itu baru bertemu teman saya,J
"Saya akan menenami teman lama sayan karena pr bisa dikerjakan besok, tetapi teman lama belum tentu besok akan datang lagi",P
"saya akan menolak ajakan tersebut dan lebih memilih menyelesaikan tugas saya, dan mengganti jadwal bertemu lain waktu",J
saya akan menolak dengan baik,J
saya akan memilih membatalkan untuk bertemu dengan teman lama saya dan memilih untuk mengerjakan PR karena untuk bertemu teman lama bisa di ganti lain waktu,J
Saya selesaikan dulu baru keluar ,J
"Menyelesaikannya sedikit, pergi dengan teman, kemudian kembali menyelesaikannya sepenuhnya 

Karena mengerjakan itu, amatlah menekan pikiran,
Kemonotonan yang seperti itulah, menjadikan pikiran akhirnya penuh dengan beban, tidak bisa terkonsentrasi ditengah-tengah hingga sampai ke tahap lelah",P
saya akan mengerjakannya sambil bertemu atau mungkin saya telat saat menemuinya karena mengerjakan tugas tersebut terlebih dahulu ,J
"Tetap bertemu dengan teman teman, tetapi dengan membawa tugas tersebut, sehingga kita tetap bisa ikut bersenang senang dengan teman teman, tetapi tugas tetap terselesaikan",P
Meminta waktu sebentar untuk mengerjakak pr dahulu lalu pergi bermain ,J
Saya akan mengatakan bahwa saya sedang sibuk dan menyusun acara reuni pada hari lain,J
"Mengerjakan PR dan menolaknya baik baik, dan saya juga lebih nyaman di rumah daripada di luar rumah",J
"Saya akan mengerjakan tugasnya dulu jika bisa jika tidak saya akan mengerjakan nya sambil reuni,ngobrol jika itu bermain saya akan bilang tidak dulu Karna saya belum selesai mengerjakan tugas",J
menolaknya dan menjelaskan kalau ada kegiatan yang tidak bisa dilepas lalu mengajaknya untuk bertemu lain hari. ,J
Aku akan datang ke acara tersebut namun aku akan pulang lebih awal untuk mengerjakan pr dan setidaknya aku sudah menghargai ajakan teman lamaku ,P
Saya akan menolaknya dan bilang lain kali saja karna saya ada pr,J
memberitahunya bahwa saya masi memiliki tugas yang harus diselesaikan dan merencanakan untuk bertemu dilain hari,J
apabila pr nya memang sangat penting maka saya akan mengajak teman lama untuk mengobrol di lain waktu,J
"Menyelesaikan tugas terlebih dahulu setelah itu menerima tawarah tersebut, karena kita tidak bakal bertemu setiap hari, i mean we make a new memories ",J
"Saya memilih mengerjakan PR , karena saya introvert jadi jika tidak mengikuti kegiatan kegiatan tersebut saya tidak akan merasa menyesal sama sekali. ",J
Menyelesaikan tugasnya di sore hari saat pulang sekolah dan tetap bertemu teman² dimalam hari.,J
Saya akan menjelaskan kepada teman saya tentang PR yang harus diselesaikan malam ini dan mengusulkan agar kita mencari waktu lain untuk bertemu. Prioritas saya adalah menyelesaikan PR karena itu adalah tanggung jawab saya sebagai siswa.,J
"tergantung kalau ada temanku yang sudah selesai PRnya, aku akan ikut, tapi jika masih belum ada temanku yang mengerjakan Aku tidak ikut. tapiiii jika aku mager aku tidak ikut dulu hehe",P
Saya mencari alasan jika saya tidak bisa reuni karena ada tugas yang harus di kerjakan ,J
"Ya ngerjain dulu toh mas, reuni nanti aja, buat apa juga, reuni, nongki, main ngga nyelesaikan tugas/PR",J
Bilang tidak bisa dikarenakan ada urusan pr.,J
"Aku akan menerima tawarannya dan mengerjakan pr nya disana, siapa tau mereka juga bisa membantuku, dan aku jadi lebih suka cita untuk menugas",P
mengajaknya untuk bermain sambil mengerjakan pr bersama,P
saya akan menerima ajakan teman saya namu saya akan pulang lebih awal untuk mengerjakan setengah tugas saya dan menyelesaikan nya besok,P
"saya akan menolak karena menurut saya tugas lebih penting, terlebih lagi saya tidak terlalu suka aktifitas di luar rumah",J
"saya akan menolak, karena bertemu dengan teman bisa setelah saya mengerjakan pr yang harus diselesaikan ",J
"Saya akan menolaknya dengan tegas, karena tugas saya lebih penting daripada urusan reuni dan semacamnya sehingga saya tidak menanggung beban tugas apapun lagi",J
"Saya akan menolaknya dengan alasan saya akan belajar malam itu, karena ketika ada suatu kewajiban maka harus dilaksanakan, dan jika saya menggambil tawarannya maka saya akan mengorbankan PR saya",J
"saya akan menemuinya tetapi dengan durasi waktu yang tidak lama, jadi saya bisa pulang dan mengerjakan pr.",P
menolak nya dan memberikan alasan yang tepat ,J
"saya lebih sering meninggalkan PR, dan memilih berkumpul dengan teman², karena masih ada waktu untuk mengerjakan PR tsb, dan saya masih ingin menghabiskan waktu dengan teman² saya, karena saya tau, momen momen tsb tidak akan pernah terulang lagi, mungkin bisa terulang, tapi tidak dengan kenangannya.",P
"saya akan menolak ajakannya, karena PR merupakan prioritas untuk saya, bertemu teman lama bisa dilakukan jika sama” ada waktu luang",J
Saya akan membawa pr saya ke pertemuan dan mengerjakannya . karena saya tidak ingin tertinggal berita tentang kabar teman teman saya,P
Saya menolak teman lama saya dengan halus karena ada kepentingan yang sangat mendesak,J
Saya tidak menerima tawaran ajakan teman saya karena saya tidak bisa menunda tugas dan menyelesaikan tidak pada waktunya hal tersebut bisa menambah beban dari kegiatan sekolah saya nantinya,J
saya akan menolak dan memberikan alasan sesuai dengan yang ada yaitu saya memiliki tugas yang belum saya kerjakan,J
saya akan menolaknya dengan baik-baik dan berkata saya sibuk ada tugas yang harus dikumpulkan besok,J
cara saya menyikapi dengan cara menopakny dengan baik2,J
"Mengiyakan ajakannya, karena jarang bertemu dan saat pulangnya melanjutkan pr yang belum dikerjakan",P
Saya akan menyelesaikan pr terlebih dahulu dan izin kepada temen untuk datang terlambat ,J
"saya akan tetap datang ke acara tersebut dan sebelum datang ke acara maka saya akan mengerjakan tugas tersebut, alasannya adalah saya tidak akan tau itu pertemuan terakhir dari saya atau teman saya ",P
"Menolaknya dengan sopan, karena PR bisa menunjang nilai bagi raport kita. Main bisa kapan pun tapi jika PR harus diselesaikan.",J
"menyanggupi, tapi saya akan mengerjakan pr saya terlebih dahulu baru bertemu dengan teman saya, agar tidak ada tanggungan dan lebih leluasa dalam bermain",J
"menolak dengan menjelaskan nya dengan baik bahwasannya ada tugas yang harus diselesaikan malam itu, dan memberikan saran untuk keluar dilain hari",J
menolaknya bila tidak bisa membawa tugas untuk di kerjakan di tempat pertemuan dengan teman,J
