Indikator,Tipe
Lebih fleksibel bergantung pada situasi,P
Bergantung pada situasi,P
"Saya lebih fleksibel dan bergantung dalam situasi namun dalam 1 hari tersebut ada beberapa tugas terarah yang saya kerjakan ketika menjalani hari contohnya menggambar 1 sketsa sehari, belajar 20 huruf kanji, dan belajar 40 kotoba, bermain game 30 menit dll. Tidak terurut tidak masalah asalkan dapat memenuhinya dalam satu hari",P
Bergantung pada situasi ,P
Lebih fleksibel,P
"bergantung situasi, aku engga terlalu suka menjadwal kegiatan karena sering berbeda dengan rencana yang sudah disusun. ",P
"Hanya beberapa saat saja membuat jadwal, lebih sering bergantung pada situasi ketika moody",P
Saya lebih fleksibel bergantung pada situasi ,P
terkadang merencanakannya terlebih dahulu akan tetapi kadang terdistract situasi,J
Fleksibel,P
saya fleksibel tetapi sudah memiliki gambar secara garis besar apa saja yang akan saya lakukan hari ini,P
Membuat jadwal yang tersusun rapi ,J
"Untuk hari Senin-Jumat biasanya saya lebih membuat jadwal yang tersusun rapi , namun jika weekend biasanya saya tergantung pada keinginan diri saya. ",J
Bergantung pada situasi,P
"Saya cenderung membuat jadwal yang tersusun rapi untuk kegiatan sehari-hari, tetapi juga memperhatikan fleksibilitas untuk menyesuaikan dengan situasi yang mungkin berubah.",J
kalau akuu lebih cenderung fleksibel hehe,P
Lebih fleksibel bergantung pada situasi karena jika telah membuat jadwal sewaktu-waktu ada jadwal yang berubah dan ada yang tidak di laksanakan maka harus mengubah jadwal tersebut dan menjadi lebih rumit lagi,P
"Campuran mas, awalnya terjadwal, tapi kalau ada sesuatu ditengah jalan ya mau ngga mau jadi fleksibel, kayak Kredivo, ""se-fleksibel itu""",P
Bergantung pada situasi terkadang jika ada waktu akan membuat jadwal.,P
Aku menjalaninya dengan fleksibel ,P
terkadang membuat jadwal dan terkadang bergantung pada situasi,P
"hidup tiada tau kita hanyalah manusia yang tidak sempurna, kita tidak tau yang terjadi kedepannya, hanya tuhan tau, maka dari itu kita sebagai manusia bergantung pada situasi namun jika sempat maka jadwalkan apa yang di lakukan kedepannya ",J
fleksibel tergantung situasi,P
"fleksibel, bergantung pada situasi",P
"Saya akan menjadi fleksibel bergantung pada situasi, namun tidak dengan beberapa kegiatan yang menjadi prioritas saya hal itu akan saya masukkan ke jadwal saya dan tidak dapat dirubah ",P
Membuat jadwal yang fleksibel dengan semua kegiatan memiliki porsinya masing masing,J
"tersusun rapi tetapi tidak harus diikuti, jadi jika jadwal tersebut tidak bisa tepat waktu, maka aku harus melompatinya dan mengerjakan jadwal setelahnya.",J
membuat jadwal yang tersusun ,J
bergantung pada situasi,P
cenderung fleksibel bergantung pada situasi,P
Saya lebih suka lebih fleksibel bergantung pada situasi. Tetapi terkadang saya juga butuh jadwal agar semua tersusun dan berjalan lancar,P
Sejujurnya saya masih belum dapat membuat jadwal yang efektif bagi keseharian saya,P
Saya cenderung membuat jadwal ,J
fleksibel dan bergantung pada situasi,P
lebih fleksibel tergantung situasi ,P
tergantung situasi,P
Fleksibel,P
Membuat jadwal yang rapi,J
tersusun rapi,J
Terjadwal agar tidak berantakan semua kegiatan sehari-hari kita,J
"saya lebih fleksibel bergantung pada situasi kecuali saat ada acara yang memang penting, maka saya akan membuat jadwal yang rapi",P
"membuat jadwal terlebih dahulu, jika ada sesuatu yang mendadak maka akan bergantung pada situasi pada saat itu",J
Dua duanya juga sih karna kita gatau apa yang terjadi di depan kita nanti,J
