Indikator,Tipe
"Untuk mendapatkan kesenang, ketenangan dan mood, saya akan menonton kpop/ kdrama sambil memakan cemilan selain itu saya akan pergi ke mall untuk melihat lihat atau berbelanja ",I
"scroll tiktok/ig, mendengarkan lagu dan nonton film",I
"Basket, Bermain Musik,Berorganisasi",E
"menghabiskan waktu dengan pergi keluar bersama teman teman, mengunjungi tempat yang terdapat live music, di beberapa kondisi saya menginginkan untuk sendiri menghabiskan waktu di kamar dengan membeli beberapa makanan atau minuman",E
Tidur dan melihat film adalah cara saya untuk merecharge energi saat disekolah semisal mengantuk,I
"Biasanya saya menghabiskan banyak waktu di mall, seperti melihat barang yang bisa saya masukkan ke dalam waiting list. Walau hanya melihat justru membuat saya termotivasi untuk menabung agar bisa membeli barang tersebut. ",I
"Dengan cara 
1. Tidur: dihari jumat setelah pulang sekolah biasanya saya tidur lebih lama daripada biasanya dari jam 19.00 - 08.00 
2. Main game: satu satunya cara untuk menenangkan pikiran adalah bermain game sejenak sebelum belajar, agar mengalihkan perhatian otak agar tidak terlalu stress
3. Main bersama teman²: apapun kegiatan yang kita lakukan bersama² pasti membuat happy dan bikin mood naik",E
"Saya biasanya menghabiskan waktu untuk istiraht dengan cara healing atau berliburan ke tempat yang sangat nyaman untuk merilekskan diri seperti mendaki gunung, kepantai atau pergi ke puncak",I
"kalau saya biasanya akan membuka tiktok, atau sosmed, biasanya juga ngedit atau ngedisain dan tidur dan makan dan melihat inspirasi ngedit hehe",I
Biasanya menghabiskan waktu untuk tidur seharian agar mendapatkan mood yang bagus dan berdiam diri di kamar sambil mendengarkan musik serta menonton film ,I
"Solat, itikaf, tidur, dengerin lagu, pijet, udah capek buat ngapa ngapain mas, lagi pengen istirahat aja",I
"Biasanya saya akan menonton drakor untuk mendapatkan energi, selain itu saya belajar.",I
Aku akan pergi dengan teman temanku dan bersenang senang bersama mereka,E
ketenangan dengan cara mendengarkan lagu sambil bersantai dirumah dan tanpa memilki pikiran sudah merupakan sebuah kesenangan sendiri,I
"main ml, tidur, makan/jajan, sunmori/nightride(bepergian), baca komik",I
menonton film atau menggambar,I
kesenangan karena dapat berkumpul dengan teman teman,E
Mengisolasi diri sendiri ke tempat yang tenang dan jauh dari keramaian serta hanyut dalam dinamisme musik yang saya dengarkan,I
"Bermain game, belajar, dan mendengarkan musik karena ketiga hal tersebut membuat pikiran saya semakin terelaksasi dan tenang",I
"mengunci diri di kamar dengan mendengarkan musik, dance, berolahraga, dan beristirahat ",I
rutinitas  yang membuat saya senang ya itu nongki sama teman teman ,E
"biasanya saya menghabiskan waktu dengan olahraga, contoh jogging, lompat tali, workout ringan, dan terkadang juga sekedar bermain game",I
"biasanya saya menghabiskan waktu untuk mendapatkan energi (kesenangan, ketenangan, atau mood) saya melakukan hal yang saya sukai, seperti bernyanyi, mendengarkan musik favorit, dan menari",I
Saya biasanya mendengarkan lagu atau menonton film yang mengandung scients-fiksi,I
"Hal yang saya lakukan adalah seperti salat  , makan, tidur, nonton film, merenungi hal hal yang telah saya lakukan.",I
Biasanya saya menonton film dan mendengarkan musik untuk menenangkan dan menaikkan mood saya ,I
"saya habiskan waktu untuk mendapatkan kesenangan dari bermain game atau sekedar mendengarkan musik, terutama dengan menonton film/drama",I
"bermain game, mendengarkan musik, menggambar, membaca komik, dan menonton film ",I
"yang saya lakukan ketika ingin mendapat energi untuk mengembalikan mood saya biasanya dengan cara makan, tidur, share about my day with my friends",E
"berkumpul dengan teman teman, belanja, dan berkeliling kota di malam hari",E
Dengan cara bergurau bersama teman dan menambah teman,E
setelah pulang sekolah saya mengisi waktu luang dengan olahraga dan bermain game untuk memperbaiki mood ,I
Pada hari sabtu dan minggu biasanya saya gunakan untuk healing menghilangkan penat nya belajar.,I
untuk mendapatkan energi biasanya saya berdiam diri di kamar sembari bermain gadget tanpa mengobrol dengan siapapun hingga saya merasa semangat kembali,I
