Indikator,Tipe
melihat kesalahan untuk meningkatkan lagi,N
"tidak, menjadikan kesalahan menjadi motivasi untuk lebih baik tanpa harus menyalahkan hal yang tidak sesuai",N
"kalau saya gagal berarti saya harus mencobanya lagi, mencoba terus dan terus sampai berhasil ",N
mencari kesalahan saya dan menyalahkan diri sendiri kenapa gagal,S
Belajar dengan giat untuk mengikuti tes yang sudah gagal tadi dan berdoa ,N
saya sangat tidak suka dengan kegagalan daya akan merenungi dan mencoba semangat kembali untuk belajar kembali,N
"bagi saya kegagalan itu wajar, karna kita masi belajar ",N
"jika saga melihat atau melakukan kesalahan saya pasti akan menyesali, tetapi dibalik itu saya akan mempelajari kesalahan saya dan malakukan yang lebih baik dari kemarin",N
Saya akan melihatnya sebagai kesempatan untuk belajar meningkatkan keterampilan supaya saya lebih berpengalaman,N
melihatnya sebagai kesempatan untuk belajar dan meningkatkan keterampilan ,N
"kegagalan merupakan proses untuk berhasil, sehingga saya akan tetap semangat untuk belajar",N
"Saya cenderung melihatnya sebagai kesempatan, karena menurut saya kegagalan bukan akhir dari segala, dari kegagalan saya juga jadi banyak belajar ",N
kegagalan bukan berarti semua berakhir jadi dari kegagalan biasanya saya buat pembelajaran agar ke depan tidak mengulangi pemicu kegagalan dari sebelumnya,N
Ketika saya melihat kegagalan atau kesalahan mungkin saya akan menyalahkan dirii saya sendiri dan mengurung diri saya sendiri untuk beberapa hari kemudian saya mencari kesalahan dan meningkatkan apa yang kurang dalam usaha saya,S
"kegagalan adalah awal dari kesuksesan, saat gagal mungkin saya akan menyiapkan hal² yang lebih baik dari sebelumnya",N
"Melalukan kesalahan dalam hidup itu sebuah kewajaran. Namun menurut saya, justru dengan kesalahan yang pernah kita lakukan akan menjadikan kita pribadi yang lebih membangun dan cenderung akan berusaha lebih keras lagi agar menciptakan hasil yang lebih maksimal. ",N
"Saya mungkin akan mencari kesalahan nya dahulu, lalu saya menggunakan kesempatan nya untuk meningkatkan keterampilan saya",S
"jika saya gagal saya akan mencari dimana letak kegagalan tersebut.
setelah itu saya akan terus meningkatkan dan lebih fokus terhadap tujuan saya. apapun hasil nya.",N
"menurut saya, kegagalan saya merupakan langkah awal untuk menuju kesuksesan. karena dalam sebuah usaha jika tidak ada suatu proses kegagalan psti tidak akan lengkap. ketika gagal, saya mencari apa yang kurang dalam kegagalan tersebut. setelahnya bisa mencoba kembali",N
jika mengalami kegagalan memang ada rasa kekecewaan tetapi dengan kegagalan tersebut kita dapat mengevaluasi diri untuk menjadi lebih baik untuk kedepan ,N
kita tidak boleh menyalahkan kesalahan seseorang kita harus memotivasi agar kesalahan tersebut menjadi cerminan/pembelajaran yang kita ambil dari kesalahan kita,N
saya cenderung mencari kesalahan dan menyalahkan diri yang tidak sesuai ,S
"Bagi saya kegagalan itu adalah suatu proses, dan kesalahan adalah suatu hal yang harus diperbaiki. Kedua hal tersebut memang saling terikat sehingga ketika melakukan kedua hal tersebut saya cenderung mencari kesalahan dan mengubah kesalahan tersebut menjadi pembelajaran yang lebih baik untuk kedepannya",N
"Jika nilai saya terlihat jelek, iya saya akan belajar lebih baik lagi",S
"saya cenderung sangat mengamati kegagalan, saya sering menganalisa kegagalan dengan sangat mendetail.",S
Menjadikan kegagalan sebagai keberhasilan,S
saya harus berusaha semaksimal mungkin agar kesalahan yang saya pernah lakukan tidak akan saya ulangin lagi.,S
menyalahkan ,S
saya sering melihatnya sebagai kesempatan untuk belajar dan meningkatkannya,N
mencari apa kesalahan nya dan mencoba agar tidak gagal lagi,S
Saya menjadikannya motivasi untuk lebih baik kedepannya,N
cenderung mencari kesalahan lalu sebagai kesempatan belajar,S
"saya sangat sering mencari kesalahan dalam diri saya untuk meningkatkan/merubah keterampilan, tapi itu membuat saya menjadi insecure atau minder",S
Ya tentu dengan mencoba nya apabila gagal terus coba hingga berhasil ,N
"i dont know i see the slightest mistakes in everything i do, tapi iya i try to see it as an opportunity to improve",N
Pada akhirnya says melihatnya sebagai pelajaran,N
"Menyatakan bahwa, penyalahan terhadap hal yang tidak sesuai, tergantung pada hal yang dikerjakan, apabila terkerjakan dengan kondisi yang amat menekan oleh sistem kemudian seharusnya tidak dikerjakan secara normal. (Di buru-buru)

Namun ""lebih melihat"" sebagai kesempatan untuk belajar dan meningkatkan kemampuan",S
lebih sering dibuat evaluasi tapi terkadang masih menyalahkan diri sendiri ,S
Melihatnya sebagai kesadaran bahwa saya masih bisa dan butuh berkembang untuk menjadi lebih baik lagi,N
Mencari kesalahan ,S
"Saya melihat kegagalan sebagai sebuah pelajaran, meskipun tak terpungkuri bahwa akan disertai oleh rasa penyesalan, namun saya masih bisa menerima suatu kegagalan tersebut",S
Menurut saya akannn menjadikan pelajaran untuk meningkatkan keterampilan,N
Tentu saya akan melihat lebih dekat dengan cara untuk memperbaiki kesalahan tersebut.,N
"meningkatkan keterampilan sih, walau butuh proses yang agak lama soalnya ngumpulin semangat buat belajar lagi ",S
Aku akan mengambil pelajaran dari setiap kegagalan,N
Saya akan mencari tahu dimana kesalahan saya lalu saya akan memperbaikinya ,S
awal nya saya merasa tidak bisa dalam melakukan hal tersebut dan cenderung menjauhkan diri saya dari kegiatan tersebut. Akan tetapi jika saya berpikiran jernih saya akan menganggapnya sebuah pengalaman dan berusaha melakukan lebih baik kedepannya.,S
Evaluasi untuk kedepannya,N
"kesalahan pasti ada di setiap proses, saya melihat kegagalan sebagai proses dalam berkembang",N
"Jikalau saya gagal saya yakin itu bukan kegagalan, tetapi saya menganggap bukan kegagalan tetapi memang belom waktunya, dan jikalau memang kegagalan, saya menganggap kegagalan tersebut belajar untuk meningkatkan keterampilan",N
Terkadang saya menyalahkan hal yang tidak sesuai tapi setelah beberapa hari membuat saya berfikir kembali bahwa kesalahan tersebut bisa saya pelajari kembali untuk meningkatkan keterampilan. ,S
"Terkadang menyalahkan diri sendiri karena gagal tapi itu tidak akan merubah kegagalan menjadi kesuksesan maka drpd saya menyalahkan diri sendiri, saya lebih baik mengembangkan diri sendiri menjadi lebih baik lagi, meskipun gagal lagi harus tetap semangat untuk terus berdiri sampai berhasil.",N
"Saya cenderung melihat kegagalan sebagai kesempatan untuk belajar dan meningkatkan keterampilan, bukan untuk mencari kesalahan atau menyalahkan hal yang tidak sesuai.",N
"mencari kesalahan dan menyalahkan tapi terkadang aku ""yaudah sih wir""",S
Untuk melihat kegagalan dalam diri sendiri biasanya saya memperbaiki dahulu dan melihat kegagalan saya berada dimana jika kegagalan tersebut sudah terlihat maka saya akan meningkatkan kualitas tersebut agar saya tidak gagal lagi dan jika masih gagal saya akan mencoba lagi sampai tidak gagal,N
"Saya ngelihatnya pakai mata sih mas, hehe

Ndak ndak, kalau saya pribadi biasanya melihat kegagalan sebagai hasil dari usaha saya yang tidak maksimal atau ketidakmampuan saya dalam menyusun suatu rencana, jadi dari situ saya tarik beberapa benang merah yang menjadi poin vital kesalahan saya dan saya gunakan untuk berbenah",N
Cenderung menyalahkan hal yang tidak sesuai.,S
Mencari kesalahan ,S
melihatnya sebagai kesempatan belajar untuk lebih giat lagi dan belajar dari masa lalu,N
"kegagalan dan kesalahan adalah kejadian yang tidak diinginkan oleh manusia, oleh karena itu pasti yang pertama adalah menyalahkan hal yang tidak sesuai namun dengan berjalan maka maka akan menjadikan itu sebagai pelajaran ",S
saya melihat apa yang salah dari diri saya dan memulainya dari awal,S
melihatnya sebagai kesempatan untuk belajar untuk meningkatkan keterampilan,N
Saya akan melihat hal tersebut sebagai kesempatan dan mempelajarinya untuk meningkatkan keterampilan,N
"Saya cenderung untuk mencari solusi, dan kegagalan hanyalah sebuah pembelajaran untuk belajar dalam meningkatkan keterampilan ",N
Cenderung melihatnya sebagai tumpuan untuk terus maju dan memperbaiki kesalahan agar tidak mengulanginya lagi.,N
mencari kesalahan dan memperbaiki kesalahan tersebut agar tidak gagal lagi ,S
melihatnya sebagai kesempatan untuk belajar untuk meningkatkan keterampilan,N
saya cenderung melihatnya sebagai kesempatan untuk belajar dan meningkatkan keterampilan,N
Saya cenderung mencari kesalahan dan menyalahkan hal yang tidak sesuai,S
Terkadang saya mencoba untuk menyalahkan keadaan tetapi saya akan berpikir kembali dan menjadikan hal ini sebagai ruang bagi saya menerima kesalahan yang telah saya lakukan dan mencoba untuk introspeksi diri.,S
Saya melihat kegagalan sebagai kesempatam untuk belajar untuk meningkatkan keterampilan ,N
"saya cenderung mencari kesalahan dalam diri saya atau hal hal yang terjadi dengan salah di sekitar saya, sekaligus juga memikirikan solusi untuk menyelesaikan masalah atau kesalahan tersebut",S
cenderung menyalahkan dan tidak lama kemudian mencoba mencari lagi jawaban yang benar ,S
"jika saya melihat kegagalan/kesalahan pertama tama mungkin saya di fase yang cenderung mencari kesalahan hal tsb, lalu saya mungkin akan melihat kesempatan itu juga untuk belajar dari kegagalan/kesalahan saya",S
"Terkadang menyalahkan, tetapi tetap berusaha menjadikannya sebagai pelajaran",S
Awalnya pasti merenung dan lama² sama berpikir itu awal dari sebuah karier ,S
melihatnya sebagai kesempatan untuk belajar,N
"Ya, dijadikan pelajaran selanjutnya agara tidak menimbulkan kesalahan/kegagalan lagi.",N
"saya cenderung suka mencari kesalahan dan menyalahkan hal yang tidak sesuai, namun terkadang itu juga membuat saya untuk lebih meningkatkan keterampilan saya",S
setelah terjadi yang tidak sesuai yang diinginkan/diharapkan akan terlihat lah kegagalan itu,S
